naziv,opis,datum_od,stevilo,sifra_prizorisca
Medštudijski kongres: (R)evolucija bakterij,"? Bakterije povzročijo v Evropski uniji 250000 smrti na leto, v Indiji vsako leto za posledicami okužbe z odpornimi bakterijami, ki jih običajno dobijo od svoje matere, umre 58000 dojenčkov. V primeru, da bodo obstoječi antibiotiki še naprej izgubljali svojo učinkovitost, se ocenjuje, da bi od leta 2050 naprej vsako leto za posledicami okužb s ""superbakterijami"" umrlo 10 milijonov ljudi. Vse pogostejša odpornost bakterij proti antibiotikom zmanjšuje učinkovitost zdravil, ki jih človeštvo uporablja že skoraj eno stoletje. Po podatkih Svetovne zdravstvene organizacije je trenutno v fazi kliničnih raziskav 51 antibiotikov, od teh jih je le 17 povsem inovativnih. Za pričakovati je, da bo klinične raziskave uspešno prestalo 10–51 % teh zdravil. 

? O »superbakterijah«, torej njihovi (R)EVOLUCIJI, mehanizmih rezistence, zdravstvenem bremenu, ki ga prinaša protimikrobna rezistenca, vpeljavi novih inovativnih terapij in še marsičem se bomo pogovarjali na prvem ????̌????????? ???????? ???????????, ?????????? ?? ?????????????. Izbrani predavatelji so priznani strokovnjaki na omenjenih področjih, zato lahko z gotovostjo trdimo, da bomo v soboto, 7. 3. 2020 na Medicinski fakulteti izvedeli veliko novega in uporabnega na to temo. ?‍?

? Točen program bo objavljen kmalu. Pridružite se nam torej na dogodku (R)EVOLUCIJA BAKTERIJ! ?

❗️ Število mest je omejeno, zato bodo potrebne prijave, ki se bodo odprle v petek, 28. 2. 2020, ob 20.00 in bodo odprte do zapolnitve mest. Potrdilo o udeležbi na kongresu boste prejeli, če boste prisotni na celotnem kongresu. ✅

Morda boste s svojimi zamislimi in znanjem prihodnost tega področja krojili tudi vi! ?‍???‍⚕️
",2020-03-07 09:00:00,1536,1104667533058410
"ŠentRock 20. obletnica / Siddharta, Hogminister","Leto je naokoli in s tem pričetek festivalske sezone! ?
ŠentRock se z letošnjo 20. obletnico povzpenja na visok nivo produkcije in glasbenih skupin! ??
 
Obeta se koncert, ki bo presegel vaša pričakovanja, koncert, ki bo masovno združil uživače najboljše slovenske rock glasbe! ??

????? sobota, 25. april 2020
???? 20:00
???? Parkirišče za občino Šentjur
Google Maps: https://goo.gl/maps/9P33H2iz1yWtYNnG6

NASTOPAJOČI
? Siddharta
? Hogminister
+ OSTALI ??

VSTOPNICE
? RAZPRODANO - Party Zmaj (prvih 100 vstopnic): 10€
? RAZPRODANO - Zvesti Zmaj (100 vstopnic): 12€
? ? ??????? - ??????? ???? (??? ????????): ??€

??????? ????? ✅
Kupi ZDAJ ➠ https://www.entrio.si/event/sentrock-2020-7524
? Nakup lahko opraviš tudi z bančno kartico Maestro.

?????̌?? ???????? ????? Entrio.si ?
- Trafike 3DVA
- OMV bencinski servisi
- ŠKMŠ pisarna


❗ STAROSTNA OMEJITEV ❗
Dogodek lahko obiščejo tudi mladoletne osebe, z nakupom vstopnice pa starši oziroma skrbniki prevzamejo vso odgovornost.
 
Zakon o varstvu javnega reda in miru (ZJRM-1) v 21. členu zakon določa, da je med 00.00 in 05.00 osebam, mlajšim od 16 let, prepovedan vstop in zadrževanje brez spremstva staršev, rejnikov ali skrbnikov v gostinskih obratih in na prireditvah, kjer se točijo alkoholne pijače.

Vstop je mogoč samo z osebnim dokumentom.

#napasmater #šentrock #rock #šentjur #rockwithus",2020-04-25 20:00:00,1762,1510386055936222
Extra študentski torek / Total Knockout | ŠTUK,"Ob Dnevu žena bo študentski torek obarvan temu primerno. Z nami bodo erotični plesalci skupine TOTAL KNOCKOUT - male erotic dance show.

Ob Dnevu mučenikov pa nismo pozabili tudi na ""moški"" del ... v kavarni ŠTUK za vas pripravljamo posebno ponudbo akcijskih ""moških"" pijač in tudi kakšno presenečenje :P

Vstop (pre)PROST! DObrodošli v študentski dnevni sobi",2020-03-10 22:00:00,651,202091796475825
Veliki poizpitni žur z Mambo Kings / TOP SIX CLUB / 4.3.,"POTRDI SE NA DOGODKU  IN SODELUJ V NAGRADNI IGRI ZA VSTOPNICE ?

‼️Tradicionalni poizpitni žur z MAMBO KINGS. Tokrat v TOP SIX  CLUB‼️

Se vidimo v sredo, 4. marca, na najboljšem poizpitnem žuru. Doktorji za zabavo - MAMBO KINGS nam bodo tako kot že vrsto let ob začetku semestra pričarali super žurersko vzdušje, ob katerem se bomo družili in plesali pozno v noč.
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

Predprodaja: 
? 6€ pri STROJNIK.SI na Fakulteti za strojništvo, Aškerčeva 6, soba 807 (nad jedilnico) 
? 7€ - (Olaii.com, Bencinski servisi OMV in Trafike 3dva)

Karte bo možno kupiti tudi na vhodu. Vseeno pa je priporočljiv nakup  v predprodaji.

Možna je tudi REZERVACIJA MIZE. Cena rezervacije je veliki boat + 6 malih brezalkoholnih pijač za 80 eur  Seveda je potrebno za vstop posebaj kupiti še karte. Se vidimo! :)
Rezervacija mize na tel. 040/668-844 ali 040/699-559.


♦️STROJNIK.SI (www.strojnik.si)
♦️Študentska organizacija Fakultete za Strojništvo (ŠOFS) (www.sofs-strojnik.si)",2020-03-04 23:00:00,1904,331835760245003
"St. Patrick's Day | BIG FOOT MAMA, KAFE TEATER","St. Patrick's praznovanje na ŠTUKu v znamenju TULLAMORE DEW. Akcijske cene pijač, hostese, nagradne igre in koncerta skupin BIG FOOT MAMA ter KAFE TEATER.

Vstopnina (kavarna ŠTUK):
- predprodaja 5 eur",2020-03-17 22:00:00,665,202091796475825
Jelena Rozga v Lajfu,"LAJF je zabava, LAJF so prijatelji, LAJF so kul dogodki!  

V Lajf smo povabili eno izmed najbolj zaželenih hrvaških zvezd, ki očara z glasom in stasom.  

⭐️⭐️ V Lajf prihaja JELENA ROZGA!  ⭐️⭐️

Nekaj njenih hitov: 
? BIŽUTERIJA 
https://www.youtube.com/watch?v=sQQGv0BTjN0&list=PLzQInWkG3qr2490xVPgeQjjVXtMI2mOrh 

? NIRVANA 
https://www.youtube.com/watch?v=Y5e1tYuCOBo&list=PLzQInWkG3qr2490xVPgeQjjVXtMI2mOrh 

? TSUNAMI 
https://www.youtube.com/watch?v=JO3ZHx9GYDI&list=PLzQInWkG3qr2490xVPgeQjjVXtMI2mOrh 

? CIRKUS 
https://www.youtube.com/watch?v=PyOkngX1xfI&list=PLzQInWkG3qr2490xVPgeQjjVXtMI2mOrh 

? NE PIJEM, NE PUŠIM 
https://www.youtube.com/watch?v=_Lxxv8TMV7s&list=PLzQInWkG3qr2490xVPgeQjjVXtMI2mOrh&index=5 

? DOBITNA KOMBINACIJA 
https://www.youtube.com/watch?v=WRdAf9fKQpI 


➡️ VSTOPNICE NA VOLJO V LAJFU OD PETKA, 28.2.2020. ⬅️

CENA VSTOPNIC: 
? V PREDPRODAJI 10€ 
? NA DAN KONCERTA 15€ 

Rezervacija miz je možna samo ob nakupu boata po izbiri.  

Rezervacije sprejemamo na info@lajf-mb.si ali na 070 555 048. 

VSTOP: 21+ 

Zaradi potrebnega zagotavljanja varnosti in hišnega reda, si pridružujemo pravico do pregleda osebnih dokumentov na vhodu.  

VABLJENI! 

 ",2020-05-15 22:00:00,604,101698298017436
Prestavljeno: 23. obletnica Villa Monde,"23. OBLETNICA JE PRESTAVLJENA NA LETO 2021, VEČ INFORMACIJ SLEDI. 

✨ 23. obletnica Villa Monde ✨

Vabimo vas, da skupaj  praznujemo 23 let skupnih trenutkov. 
Rezerviraj si 17. in 18. april: 

PETEK, 17. april:

➡️ LUKA BASI
➡️ GRUPA VIGOR
➡️ DEJAN VUNJAK 

SOBOTA, 18. april:

➡️ MARKO ŠKUGOR
➡️ LJUBAVNICI 
➡️ POSKOČNI MUZIKANTI

? Vstopnina:

Več informacij kmalu 

Bodi del naše zgodbe tudi TI! 

VEČ INFO: www.villamonde.com",2020-04-17 20:00:00,2102,130266920374969
Mercedes-Benz UCI Mountain Bike World Cup / Maribor - Slovenia,"After a nine-year hiatus from the World Cup calendar, Maribor proved why it has always been a rider favourite.",2020-05-02 00:00:00,2099,117500491595808
COBY & INAS@TOP SIX CLUB (TOČEN DATUM SPOROČIMO),"Coby, jesi ti radio traku....?

?V petek 13.3 v klub Top Six prihaja COBY.?

Premierno pa bo gost vecera vzhajajoca zveda trap scene INAS. 

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

Slisali bomo hite kot so:

Moja braca
https://m.youtube.com/watch?v=mUuNCMoMXso

Pravi rep
https://m.youtube.com/watch?v=dDBwLgX61tc



Leto je
https://m.youtube.com/watch?v=fK3-kX3rN8c

Zver
https://m.youtube.com/watch?v=PF8NaZWm3rY

Biseri iz blata
https://m.youtube.com/watch?v=40e5oH1pDlM

Rambo
https://m.youtube.com/watch?v=GXscrPea5K4

Ona e
https://m.youtube.com/watch?v=iyPgQN2wLjs

4 strane sveta
https://m.youtube.com/watch?v=jyP0I72aqVU

In se mnoge druge. 

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

Predprodaja vstopnic od 9.3 dalje na vseh Petrolih in Eventimovih prodajnih mestih. 


Prvi paket vstopnic samo 5€/VIP 15€
Drugi paket vstopnic 7€/VIP 15€
Tretji paket vstopnic 10€/VIP 20€
Cetrti paket vstopnic 15€/VIP 20€

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

Info&rezervacije
jakov@topsixclub.si
040 66 88 44",2020-05-08 23:00:00,844,331835760245003
Ogled Svetovnega prvenstva v poletih,"ŠKD Vrh organizira ogled svetovnega prvenstva v smučarskih poletih v Planici in sicer v soboto 21.3.2020. Odhod bo ob 4.00 s parkirišča pri Oblaku. Na voljo je cca. 40 mest. Prvih 25 odraslih ima zagotovljeno vstopnico s strani društva (26€) in jo prevzamejo na avtobusu, ostali si jo zagotovite sami ( Petrol, Pošta, Kompas). Prevoz je za člane društva brezplačen, za ostale pa znaša 10€ na osebo. Prijave pobiramo najkasneje do srede, 19. 3. 2020 oziroma do zapolnitve mest, na številki 030 924 307 – Jure. 
Zaradi velikega zanimanja ogleda svetovnega prvenstva, si karte zagotovite čim prej!
 
Vabljeni, da v čim večjem številu podpremo naše orle!

					Športna sekcija

",2020-03-21 04:00:00,2421,304358643004121
