naziv,opis,datum_od,stevilo,sifra_prizorisca,kategorije_sifre,kategorije_nazivi
"Fem. seminar: Feminizem, nacionalizem in družbena reprodukcija",predavanje predstaviti študija sara farris naslov ime pravica ženska obravnava poseben položaj migrantski delavka evropa naraščajoč islamofobija vzpon nacionalističen politika najbolj oster nasprotnik priseljevanje migrantka nenavaden naklonjen videti žrtev patriarhalen kultura treba rešiti emancipirati preplet integracijski politika gospodarski ukrep spodbujati izobraževanje del evropski ženska stoletje omogočiti ekonomski neodvisnost osvoboditev okov zaseben sfera pobeg nasilje družina nepričakovan sočutje izražati desničar feministka dobronameren gesta danes velik del ženska zaposlen obenem razkroj socialen država pritisk družina velik zato večina zahodnoevropski država kroničen primanjkovati delavka opravljati skrbstven gospodinjski del mnog samooklican feministka ubog migrantka ponujati emancipacija delo doseči sam resnica naprtiti naloga desetletje poskušati znebiti analiza političnoekonomski temelj ideologija reševanje priseljenka avtorica poimenovati izraz femonacionalizem razkriti rasističen podmen protislovje sodoben feminizem ponuditi odličen izhodišče razprava del družben reprodukcija intersekcionalnost knjiga slovenski prevod izid februar letos založba sophio antonija todić magistrica sociologija kultura prevajalka prevesti knjiga ime pravica ženska napisati spremen beseda prevajati besedilo področje družboslovje umetnost let sourednica feminističen radijski oddaja sektor radio študent nekdanji sodelavko slovenski kinoteka lanski let članica programski skupina fekk ljubljana short film festival predavanje del feminističen seminar organizirati katja čičigoj klara otorepec sodelovanje kud anarhiv mesten knjižnica ljubljana seminar sestavljen bralen krožko mesečen predavanje predavanje spored torek mesec,2020-02-04 19:30:00,300,1486186481643034.0,"16,32","Kid Friendly,Causes"
BALKAN x TRAP Night / 21.2.2020 / Max Klub,februar znova vračati max klub nadaljevati delo nov zabava imenovan balkan trapa night kjer dje jnx uživati hit trendovski izvajalec jati brat bub corell rast migos reljati raf camor coron elen tyg coby vabiti max klub šaleški cesta velenje cena vstopnica navaden vip rezervacija miza vključevati karta boati izbira miza zavarovan vip del lasten natakar dostop vip šanek karta volja tinkar silovšek kenati grošić uroš tambić filip dominković starosten omejitev,2020-02-21 22:00:00,501,234616743271933.0,15,Party
Medštudijski kongres: (R)evolucija bakterij,bakterija povzročiti evropski unija smrt leto indija leto posledica okužba odporen bakterija običajen dobiti mati umreti dojenček primer obstoječ antibiotik naprej izgubljati učinkovitost ocenjevati let naprej leto posledica okužba superbakterija umrl milijon človek pogost odpornost bakterija antibiotik zmanjševati učinkovitost zdravilo človeštvo uporabljati stoletje podatek svetoven zdravstven organizacija trenuten faza kliničen raziskava antibiotik povsem inovativen pričakovati kliničen raziskava uspešen prestati zdravilo superbakterija evolucija mehanizem rezistenca zdravstven breme prinašati protimikroben rezistenca vpeljava nov inovativen terapija pogovarjati izbran predavatelj priznan strokovnjak omenjen področje zato lahek gotovost trditi sobota medicinski fakulteta izvedeti velik nov uporaben tema točen program objavljen kmalu pridružiti dogodek evolucija bakterija število mesto omejen zato potreben prijava odpreti petek odprt zapolnitev mesto potrdilo udeležba kongres prejeti prisoten celoten kongres zamisel znanje prihodnost področje krojiti,2020-03-07 09:00:00,1519,1104667533058410.0,5,Other
Kvatropirci | Hajdoše,začetek let kvatropirec prvič podajati koncerten turneja slovenija večkrat nagrajen vokalen skupina festival melodija morje sonce vedno znova očarati publika kvaliteten izvedba pesem iskrenost karizma prepričjiv nastop fant oči publika veljati večen romantika imeti pripravljen lep dalmatinski skladba večen klasik oliver dragojević slovenski skladba opevati morje večer miniti hit deklica spomin živet dober dan dueta jan plestenjak pesem veter veti prodaja vstopnica event prodajen mesto petrola slovenija pošta nakup naslonjač print hom cena vstopnica predprodaja dan koncert vstopnica poceni videti kvatropirec,2020-02-28 20:00:00,368,187130894678670.0,"2,6,16,55","Music,Concert,Kid Friendly,Pop music"
Lions Obarjada 2020,vabiti velik humanitaren družaben karnevalski dogodek kulinarika prost lions obarjad februar dvorišče minoritski samostan ptuj dogodek let uspešen organizirati lions klub ptovati privabiti leto več človek lion skupaj tekmovalen ekipa razdeliti brezplačen obrok združiti človek dober volja pridružiti več ekipa februar naprej,2020-02-15 09:00:00,336,476392372390694.0,"4,5,16,71,158","Volunteering,Other,Kid Friendly,Limited to people 18 and older,Limited to people 21 and older"
Nina Donelli / KOPE,holcer prihajati nina donell pevka takoj stas glas navduševati vedno stopiti oder vstopnina ugoden smučarski vozovnica paketa ekskluziven rezervacija namestitevhoteti rezervacija kopes več informacija rezervacija kopes,2020-02-08 20:00:00,432,215903830309.0,15,Party
"Odpovedano / ŠentRock 20. obletnica / Siddharta, Hogminister",odpovedati leto pričetek festivalski sezona šentrocka letošnji obletnica povzpenjati visok nivo produkcija glasben skupina obet koncert preseči pričakovanje koncert masoven združiti uživač dober slovenski rocka glasba sobota april parkirišče občina šentjura googel maps nastopajoč siddhart hogminister ostal vstopnica razprodan party zmati vstopnica razprodan zvest zmati vstopnica kupa zdaj nakup lahek opraviti bančen kartica maestra entrios trafik omv bencinski serviseti škmti pisarna starosten omejitev dogodek lahek obiskati mladoleten oseba nakup vstopnica starš skrbnik prevzeti odgovornost zakon varstvo javen red mir člen zakon določati oseba mlad let prepovedan vstop zadrževanje spremstvo starš rejnik skrbnik gostinski obrat prireditev kjer točiti alkoholen pijača vstop mogoč oseben dokument napasmati šentrocka rocka šentjura rockwithus,2020-04-25 20:00:00,1765,1510386055936222.0,"6,15,51,255","Concert,Party,Music festival,Electronic rock"
Pustovanje 2020,pustovanje vabiti dober zabava mesto welcom drinka maškara vstopnina deti dogodek naprej fota prejšnji pustovanje lpub razen,2020-02-22 22:00:00,118,173214609762.0,64,Comedy
AfTeRWoRk PuStOvAnJe v The Lounge Ptuj,najbolj nor pustovanje mesto začeti znan pusten torek mesto odložiti delo pod najbolj nor dogajanje pustovanje tokrat pripravljati živ glasba skupina smiti glasben podlaga devedeseti danes aktualen akcijski cena pijača dober družba mesto pridružiti velik zabava mesto pozaba povedati naprej več bolj lušen,2020-02-25 12:00:00,287,387162651386428.0,15,Party
Pust Vetrinjski!: (Fl)etno družinsko pustovanje,pust vetrinjski sreča mir fti eten družinski pustovanje sobota hiša star trta ulica maribor vetrinjski dvor pusten sobota širok usta odprt rok povabiti tradicionalen pust vetrinjski radoživ hajda pusten pohod hiša star trta zvit ulica maribor dvorišče vetrinjski dvor pusten šema rajati pust vetrinjski spoznavanje dediščina zgodba kurent ples kurent štajerski pusten ples pohod ljudski pusten lik mesto razstava ljudski pusten maska slovenski pokrajina etnološki film delavnica pusten dobrota rajanje ljudski avtorski glasba tadej vesenjak gost robert ivačič usten harmonik živ živ izbirati dober dom narejen sati simboličen nagraditi šegav našemljen dober volja opremljen norčav redosled pusten sobota hiša star trta kurent slovenski ljudski pripoved ružiti izdelovanje ropotati pusten pohod maribor druženje kurent kud polanec starš štajerski pusten ples akademski folkloren skupina študent kud študent maribor topel duša topel napitek hiša star trta ulica maribor glaven trg gosposki vetrinjski dvor pohod kurent folkloristov maska ropotanje odganjanje zima kud polanec starš akademski folkloren skupina študent kud študent maribor našemljen vetrinjski dvor sprejem prišel pusten lik glasen dobrodošlica zavod mars maribor tradicionalen pusten jed pogostitev pohajač zavod mars maribor kurent ples kud polanec starš štajerski pusten ples akademski folkloren skupina študent kud študent maribor dober družba spomin druženje fotografiranje kurent folkloren skupina ljudski pusten maska slovenski pokrajina razstava likoven izdelek ljudski maska učenec mariborski vrtec šola pusten šega navada slovenski projekcija etnografski film slovenski etnograska muzej zavod mars maribor vetrinjski dvor bob miški kulinaričen delavnica pusten jed zavod mars maribor maškiranje pusten poslikav zavod mars maribor ljudski pusten maska slovenski pokrajina razstava likoven izdelek ljudski maska učenec mariborski vrtec šola pusten šega navada slovenski projekcija etnografski film slovenski etnograska muzej zavod mars maribor vetrinjski dvor rajanje koncert tadej vesenjak pusten rajanje ljudski avtorski glasba tadej vesenjak robert ivačič vetrinjski dvor najbolj izviren dom narejen razglasitev podelitev nagrada vstopnina prireditev dopoldanski dogajanje brezplačen zaželen prostovoljen prispevek kulturen evra popoldan vstop prizorišče vetrinjski dvor rajanje tadej vesenjak robert ivačič projekcija film ogled razstava delavnica bob miški pusten poslikati mlad let brezplačen pust vetrinjski organizirati zavod mars maribor sodelovanje naroden dom maribor vetrinjski dvor hiša star trta kud študent kud polanec starš maribor zavod mars maribor uresničevati program podpora mesten občina maribor ministrstvo javen uprava center kreativnost evropski sklad regionalen razvoj esrr,2020-02-22 10:00:00,204,1547886592096293.0,"4,15,16","Volunteering,Party,Kid Friendly"
