naziv,opis,datum_od,stevilo,sifra_prizorisca,kategorije_sifre,kategorije_nazivi,kategorije_sifre_new,kategorije_nazivi_new
"Fem. seminar: Feminizem, nacionalizem in družbena reprodukcija",predavanje predstaviti študija sara farris naslov ime pravica ženska obravnavati poseben položaj migrantski delavka evropiti naraščajoč islamofobija vzpon nacionalističen politik najbolj oster nasprotnik priseljevanje migrantka nenavadno naklonjen videti žrtev patriarhalen kultura treba rešiti emancipirati preplet integracijski politik gospodarski ukrep spodbujati izobraževanje del evropski ženska stoletje omogočiti ekonomsko neodvisnost osvoboditev okov zaseben sfera pobeg nasilje družina nepričakovano sočutje izražati desničar feministka dobronameren gesta danes velik del ženska zaposlen obenem razkroj socialen država pritisk družina velik zato večina zahodnoevropski država kronično primanjkovati delavka opravljati skrbstven gospodinjski delo mnog samooklican feministka ubog migrantka ponujati emancipacija delo doseči sam resnica naprtiti naloga desetletje poskušati znebiti analiza političnoekonomski temelj ideologija reševanje priseljenka avtorica poimenovati izraz femonacionalizem razkriti rasističen podmena protislovje sodoben feminizem ponuditi odličen izhodišče razprava del družben reprodukcija intersekcionalnost knjiga slovenski prevod iziti februar letos založba sophia antonija todić magistrica sociologija kultura prevajalka prevesti knjiga ime pravica ženska napisati spremen beseda prevajati besedilo področje družboslovje umetnost leto sourednica feminističen radijski oddaja sektor radio študent nekdanji sodelavka slovenski kinoteka lanski leto članica programski skupina fekk ljubljana short film festival predavanje del feminističen seminara organizirati katji čičigoj klara otorepec sodelovanje kudo anarhiv mesten knjižnica ljubljana seminar sestavljen bralen krožek mesečen predavanje predavanje spored torek mesec,2020-02-04 19:30:00,300,1486186481643034.0,"16,32","Kid Friendly,Causes",32,Causes
BALKAN x TRAP Night / 21.2.2020 / Max Klub,februar znova vračati max klub nadaljevati delo nov zabava imenovan balkan trap night kjer dje jnx uživati hit trendovski izvajalec jati brat buba corella rast migos reljati raf camor corona elen tyg coby vabljen max klub šaleški cesta velenje cena vstopnica navaden vip rezervacija miza vključevati karta boat izbira miza zavarovan vip del lasten natakar dostop vip šank karta volja tinkara silovšek kenan grošić uroš tambić filip dominković starosten omejitev,2020-02-21 22:00:00,501,234616743271933.0,15,Party,15,Party
Medštudijski kongres: (R)evolucija bakterij,bakterija povzročiti evropski unija smrt leto indija leto posledica okužba odporen bakterija običajno dobiti mati umreti dojenček primer obstoječ antibiotik naprej izgubljati učinkovitost ocenjevati leto naprej leto posledica okužba superbakterija umreti milijon človek pogost odpornost bakterija antibiotik zmanjševati učinkovitost zdravilo človeštvo uporabljati stoletje podatek svetoven zdravstven organizacija trenutno faza kliničen raziskava antibiotik povsem inovativen pričakovati kliničen raziskava uspešno prestati zdravilo superbakterija evolucija mehanizem rezistenca zdravstven breme prinašati protimikroben rezistenca vpeljava nov inovativen terapija pogovarjati izbran predavatelj priznan strokovnjak omenjen področje zato lahko gotovost trditi sobota medicinski fakulteta izvedeti veliko nov uporaben tema točen program objavljen kmalu pridružiti dogodek evolucija bakterija število mesto omejen zato potreben prijava odpreti petek odprt zapolnitev mesto potrdilo udeležba kongres prejeti prisoten celoten kongres zamisel znanje prihodnost področje krojiti,2020-03-07 09:00:00,1519,1104667533058410.0,5,Other,5,Other
Kvatropirci | Hajdoše,začetek leto kvatropirec prvič podajati koncerten turneja slovenija večkrat nagrajen vokalen skupina festival melodija morje sonce vedno znova očarati publika kvalitetno izvedba pesem iskrenost karizma prepričjiv nastop fant oči publika veljati večen romantika imeti pripravljen lep dalmatinski skladba večen klasika oliver dragojević slovenski skladba opevati morje večer miniti hit deklica spomin živet dober dan duet jan plestenjak pesem veter veti prodaja vstopnica eventim prodajen mesto petrol slovenija pošta nakup naslonjač print hom cena vstopnica predprodaja dan koncert vstopnica poceni videti kvatropirec,2020-02-28 20:00:00,368,187130894678670.0,"2,6,16,55","Music,Concert,Kid Friendly,Pop music",2,Music
Lions Obarjada 2020,vabiti velik humanitaren družaben karnevalski dogodek kulinarika prost lions obarjada februar dvorišče minoritski samostan ptu dogodek leto uspešno organizirati lions klub ptovati privabiti leto več človek lion skupaj tekmovalen ekipa razdeliti brezplačen obrok združiti človek dober volja pridružiti več ekipa februar naprej,2020-02-15 09:00:00,336,476392372390694.0,"4,5,16,71,158","Volunteering,Other,Kid Friendly,Limited to people 18 and older,Limited to people 21 and older",5,Other
Nina Donelli / KOPE,holcer prihajati nina donelli pevka takoj stas glas navduševati vedno stopiti oder vstopnina ugoden smučarski vozovnica paket ekskluzivno rezervacija namestitevhoteti rezervacija kopes več informacija rezervacija kopes,2020-02-08 20:00:00,432,215903830309.0,15,Party,15,Party
"Odpovedano / ŠentRock 20. obletnica / Siddharta, Hogminister",odpovedan leto pričetek festivalski sezona šentrock letošnji obletnica povzpenjati visok nivo produkcija glasben skupina obetati koncert preseči pričakovanje koncert masovno združiti uživač dober slovenski rock glasba sobota april parkirišče občina šentjur google maps nastopajoč siddhart hogminister ostati vstopnica razprodan party zmaj vstopnica razprodan zvest zmaj vstopnica kupiti zdaj nakup lahko opraviti bančen kartica maestra entrios trafika omva bencinski servis škmti pisarna starosten omejitev dogodek lahko obiskati mladoleten oseba nakup vstopnica starš skrbnik prevzeti odgovornost zakon varstvo javen red mir člen zakon določati oseba mlad leto prepovedan vstop zadrževanje spremstvo starš rejnik skrbnik gostinski obrat prireditev kjer točiti alkoholen pijača vstop mogoč oseben dokument napasmater šentrock rock šentjur rockwithus,2020-04-25 20:00:00,1765,1510386055936222.0,"6,15,51,255","Concert,Party,Music festival,Electronic rock",15,Party
Pustovanje 2020,pustovanje vabljen dober zabava mesto welcom drink maškara vstopnina delo dogodek naprej foto prejšnji pustovanje lpub razno,2020-02-22 22:00:00,118,173214609762.0,64,Comedy,64,Comedy
AfTeRWoRk PuStOvAnJe v The Lounge Ptuj,najbolj noro pustovanje mesto začeti znan pusten torek mesto odložiti delo podati najbolj nor dogajanje pustovanje tokrat pripravljati živ glasba skupina smiti glasben podlaga devedeset danes aktualen akcijski cena pijača dober družba mesto pridružiti velik zabava mesto pozabiti povedati naprej več bolj lušno,2020-02-25 12:00:00,287,387162651386428.0,15,Party,15,Party
Pust Vetrinjski!: (Fl)etno družinsko pustovanje,pust vetrinjski sreča mir eten družinski pustovanje sobota hiša star trta ulica maribor vetrinjski dvor pusten sobota širok usta odprt rok povabiti tradicionalen pust vetrinjski radoživ hajda pusten pohod hiša star trta zvit ulica maribor dvorišče vetrinjski dvor pusten šema rajati pust vetrinjski spoznavanje dediščina zgodba kurent ples kurent štajerski pusten ples pohod ljudski pusten lik mesto razstava ljudski pusten maska slovenski pokrajina etnološki film delavnica pusten dobrota rajanje ljudski avtorski glasba tadeja vesenjak gost robert ivačič usten harmonika živo živo izbirati dober doma narejen šema simbolično nagraditi šegav našemljen dobro volja opremljen norčav redosled pusten sobota hiša star trta kurent slovenski ljudski pripoved ružiti izdelovanje ropotati pusten pohod maribor druženje kurent kuda polanec starš štajerski pusten ples akademski folkloren skupina študent kuda študent maribor toplo duša topel napitek hiša star trta ulica maribor glaven trg gosposki vetrinjski dvor pohod kurent folklorist maska ropotanje odganjanje zima kuda polanec starš akademski folkloren skupina študent kuda študent maribor našemljen vetrinjski dvor sprejem prišel šema pusten lik glasen dobrodošlica zavod mars maribor tradicionalen pusten jed pogostitev pohajač zavod mars maribor kurent ples kuda polanec starš štajerski pusten ples akademski folkloren skupina študent kuda študent maribor dober družba spomin druženje fotografiranje kurent folkloren skupina ljudski pusten maska slovenski pokrajina razstava likoven izdelek ljudski maska učenec mariborski vrtec šola pusten šega navada slovenski projekcija etnografski film slovenski etnogrask muzej zavod mars maribor vetrinjski dvor bob miška kulinaričen delavnica pusten jed zavod mars maribor maškiranje pusten poslikava zavod mars maribor ljudski pusten maska slovenski pokrajina razstava likoven izdelek ljudski maska učenec mariborski vrtec šola pusten šega navada slovenski projekcija etnografski film slovenski etnogrask muzej zavod mars maribor vetrinjski dvor rajanje koncert tadej vesenjak pusten rajanje ljudski avtorski glasba tadeja vesenjak robert ivačič vetrinjski dvor najbolj izviren doma narejen šema razglasitev podelitev nagrada vstopnina prireditev dopoldanski dogajanje brezplačno zaželen prostovoljen prispevek kulturen evro popoldan vstop prizorišče vetrinjski dvor rajanje tadej vesenjak robert ivačič projekcija film ogled razstava delavnica bob miška pusten poslikava mlad leto brezplačno pust vetrinjski organizirati zavod mars maribor sodelovanje naroden dom maribor vetrinjski dvor hiša star trta kuda študent kuda polanec starš maribor zavod mars maribor uresničevati program podpora mesten občina maribor ministrstvo javno uprava center kreativnost evropski sklad regionalen razvoj esrr,2020-02-22 10:00:00,204,1547886592096293.0,"4,15,16","Volunteering,Party,Kid Friendly",15,Party
