naziv,opis,datum_od,stevilo,sifra_prizorisca,cluster,center_distance
Medštudijski kongres: (R)evolucija bakterij,bakterija povzročiti evropski unija smrt leto indija leto posledica okužba odporen bakterija običajen dobiti mati umreti dojenček primer obstoječ antibiotik naprej izgubljati učinkovitost ocenjevati let naprej leto posledica okužba superbakterija umrl milijon človek pogost odpornost bakterija antibiotik zmanjševati učinkovitost zdravilo človeštvo uporabljati stoletje podatek svetoven zdravstven organizacija trenuten faza kliničen raziskava antibiotik povsem inovativen pričakovati kliničen raziskava uspešen prestati zdravilo superbakterija evolucija mehanizem rezistenca zdravstven breme prinašati protimikroben rezistenca vpeljava nov inovativen terapija pogovarjati izbran predavatelj priznan strokovnjak omenjen področje zato lahek gotovost trditi sobota medicinski fakulteta izvedeti velik nov uporaben tema točen program objavljen kmalu pridružiti dogodek evolucija bakterija število mesto omejen zato potreben prijava odpreti petek odprt zapolnitev mesto potrdilo udeležba kongres prejeti prisoten celoten kongres zamisel znanje prihodnost področje krojiti,2020-03-07 09:00:00,1536,1104667533058410,0,0.03542524895418412
"ŠentRock 20. obletnica / Siddharta, Hogminister",leto pričetek festivalski sezona šentrocka letošnji obletnica povzpenjati visok nivo produkcija glasben skupina obet koncert preseči pričakovanje koncert masoven združiti uživač dober slovenski rocka glasba sobota april parkirišče občina šentjura googel maps nastopajoč siddhart hogminister ostal vstopnica razprodan party zmati vstopnica razprodan zvest zmati vstopnica kupa zdaj nakup lahek opraviti bančen kartica maestra entrios trafik omv bencinski serviseti škmti pisarna starosten omejitev dogodek lahek obiskati mladoleten oseba nakup vstopnica starš skrbnik prevzeti odgovornost zakon varstvo javen red mir člen zakon določati oseba mlad let prepovedan vstop zadrževanje spremstvo starš rejnik skrbnik gostinski obrat prireditev kjer točiti alkoholen pijača vstop mogoč oseben dokument napasmati šentrocka rocka šentjura rockwithus,2020-04-25 20:00:00,1762,1510386055936222,6,0.04220753087229904
Extra študentski torek / Total Knockout | ŠTUK,dan žena študentski torek obarvan primeren erotičen plesalec skupina totati knockouti mali erotica danec show dan mučenikov pozabiti moški del kavarna štuk pripravljati poseben ponudba akcijski moški pijača presenečenje vstop preti prost dobrodošel študentski dneven soba,2020-03-10 22:00:00,651,202091796475825,0,0.06225514755579135
Veliki poizpitni žur z Mambo Kings / TOP SIX CLUB / 4.3.,potrditi dogodek sodelovati nagraden igra vstopnica poizpiten žura mamba kings tokrat top six videti sreda marec dober poizpiten žur doktor zabava mamba kings vrsta let začetek semestra pričarati super žurerski vzdušje družiti plesati pozen noč predprodaja strojniks fakulteta strojništvo aškerčev soba jedilnica olaiic bencinski serviseti omv trafik karta možen kupiti vhod vseeno priporočljiv nakup predprodaja možen rezervacija miza cena rezervacija velik boati mali brezalkoholen pijača eura potreben vstop posebati kupiti karta videti rezervacija miza teti organizacija fakulteta strojništvo šofs,2020-03-04 23:00:00,1904,331835760245003,1,0.08694251879982422
"St. Patrick's Day | BIG FOOT MAMA, KAFE TEATER",patricka praznovanje štuk znamenje tullamoči dew akcijski cena pijača hostes nagraden igra koncert skupina big foota mama kaf teater vstopnina kavarna štuk predprodaja eura,2020-03-17 22:00:00,665,202091796475825,6,0.03221306559407145
Jelena Rozga v Lajfu,lajf zabava lajf prijatelj lajf kula dogodek lajf povabiti najbolj zaželen hrvaški zvezda očarati glas stas lajf prihajati jelen rozg hit bižuterija nirvan tsuna cirkus piti pušiti dobiten kombinacija vstopnica volja lajf petek cena vstopnica predprodaja dan koncert rezervacija miza možen nakup boati izbira rezervacija sprejemati infa lajfmbs vstop potreben zagotavljanje varnost hišen red pridruževati pravica pregled oseben dokument vhod vabiti,2020-05-15 22:00:00,604,101698298017436,5,0.04689327418288163
Prestavljeno: 23. obletnica Villa Monde,obletnica prestavljen leto več informacija sled obletnica ville mond vabiti skupaj praznovati let skupen trenutek rezervirati april petek april luk basa grupa vigor dejan vunjak sobota april marka škugor ljubavnica poskočen muzikant vstopnina več informacija kmalu del zgodba več infa,2020-04-17 20:00:00,2102,130266920374969,0,0.045574524418531284
COBY & INAS@TOP SIX CLUB (TOČEN DATUM SPOROČIMO),coby radio trak petek klub top six prihajati coby premieren gost vecer vzhajajoc zved trapa scena ijaz slisati hit braca pravi rep leto zver biser blato ramba stran svet mnog vstopnica dalja petrol eventimov prodajen mesto paketa vstopnica paketa vstopnica paketa vstopnica cetrti paketa vstopnica infa jak,2020-05-08 23:00:00,844,331835760245003,6,0.08581294713037582
Ogled Svetovnega prvenstva v poletih,škd organizirati ogled svetoven prvenstvo smučarski polet planica sobota odhod parkirišče oblak volja cec mesto odrasel imeti zagotovljen vstopnica stran društvo prevzeti avtobus ostal zagotoviti sam petrola pošta kompas prevoz član društvo brezplačen ostal znašati oseba prijava pobirati kasneje sreda zapolnitev mesto številka jura velik zanimanje ogled svetoven prvenstvo karta zagotoviti prej vabiti velik število podpreti orel športen sekcija,2020-03-21 04:00:00,2421,304358643004121,0,0.03409593081363912
Velika pustna zabava s Kingstoni in Vilijem Resnikom na Viru,soboten pusten zabava čas pust iti letos drugače lep vabiti velik pustovanje skupina kingston viliti resnik vir izviren skupinski individualen maska bogat nagrajen cena vstopnica dan dogodek znašati predprodaja cena vstopnica znašati predprodaja dobiti bar don juan vir šaranovičev cesta domžati skupina kingston idrija najbolj priljubljen slovenski glasben skupina vsekakor poseben pečat pravi zabava pozitiven energija izjemen karizem oder kakovost izvedba glasba uspešnica uspešnica glaven karakteristika kingston držati sam imeti lep število hit šteti več pretiravanje lahek zatrditi skladba priti glasben pero postati uspešnica vila resnik glasba začeti ukvarjati razred osnoven šola odločiti postati kitarist nadaljevanje sodelovati rockovski skupina igrati peti herbio junak nočen kronik pomaranča yunka spina skupina pop design pričeti sodelovati november sodelovanje zaključiti pesem potepuh let,2020-02-22 20:00:00,835,388042060566,4,0.06416853547764623
Prvomajski Žur // Raubarji // Zvita feltna // ROVN,sneg izpit zvonček začeti čivkati ptiček lahek pomen bližati maj čas dober prvomajski žura gorenjski kdaj april raubar april zvit felten kje športen park rovn prireditev šotor potekati zagotoviti vstopnica predprodaja zagotoviti vstop mimovrsta dober cena volja zato čimprej naslonjač prodajen mesto olaio omv trafik starosten omejitev dogodek lahek obiskati mladoleten oseba nakup vstopnica starš skrbnik prevzeti odgovornost zakon varstvo javen red mir člen zakon določati oseba mlad let prepovedan vstop zadrževanje spremstvo starš rejnik skrbnik gostinski obrat prireditev kjer točiti alkoholen pijača,2020-04-24 20:30:00,879,102773803267,6,0.09377537398888221
