naziv,opis,datum_od,stevilo,sifra_prizorisca
Medštudijski kongres: (R)evolucija bakterij,bakterija povzročiti evropski unija smrt leto indija leto posledica okužba odporen bakterija običajen dobiti mati umreti dojenček primer obstoječ antibiotik naprej izgubljati učinkovitost ocenjevati let naprej leto posledica okužba superbakterija umrl milijon človek pogost odpornost bakterija antibiotik zmanjševati učinkovitost zdravilo človeštvo uporabljati stoletje podatek svetoven zdravstven organizacija trenuten faza kliničen raziskava antibiotik povsem inovativen pričakovati kliničen raziskava uspešen prestati zdravilo superbakterija evolucija mehanizem rezistenca zdravstven breme prinašati protimikroben rezistenca vpeljava nov inovativen terapija pogovarjati izbran predavatelj priznan strokovnjak omenjen področje zato lahek gotovost trditi sobota medicinski fakulteta izvedeti velik nov uporaben tema točen program objavljen kmalu pridružiti dogodek evolucija bakterija število mesto omejen zato potreben prijava odpreti petek odprt zapolnitev mesto potrdilo udeležba kongres prejeti prisoten celoten kongres zamisel znanje prihodnost področje krojiti,2020-03-07 09:00:00,1536,1104667533058410
"ŠentRock 20. obletnica / Siddharta, Hogminister",leto pričetek festivalski sezona šentrocka letošnji obletnica povzpenjati visok nivo produkcija glasben skupina obet koncert preseči pričakovanje koncert masoven združiti uživač dober slovenski rocka glasba sobota april parkirišče občina šentjura googel maps nastopajoč siddhart hogminister ostal vstopnica razprodan party zmati vstopnica razprodan zvest zmati vstopnica kupa zdaj nakup lahek opraviti bančen kartica maestra entrios trafik omv bencinski serviseti škmti pisarna starosten omejitev dogodek lahek obiskati mladoleten oseba nakup vstopnica starš skrbnik prevzeti odgovornost zakon varstvo javen red mir člen zakon določati oseba mlad let prepovedan vstop zadrževanje spremstvo starš rejnik skrbnik gostinski obrat prireditev kjer točiti alkoholen pijača vstop mogoč oseben dokument napasmati šentrocka rocka šentjura rockwithus,2020-04-25 20:00:00,1762,1510386055936222
Extra študentski torek / Total Knockout | ŠTUK,dan žena študentski torek obarvan primeren erotičen plesalec skupina totati knockouti mali erotica danec show dan mučenikov pozabiti moški del kavarna štuk pripravljati poseben ponudba akcijski moški pijača presenečenje vstop preti prost dobrodošel študentski dneven soba,2020-03-10 22:00:00,651,202091796475825
Veliki poizpitni žur z Mambo Kings / TOP SIX CLUB / 4.3.,potrditi dogodek sodelovati nagraden igra vstopnica poizpiten žura mamba kings tokrat top six videti sreda marec dober poizpiten žur doktor zabava mamba kings vrsta let začetek semestra pričarati super žurerski vzdušje družiti plesati pozen noč predprodaja strojniks fakulteta strojništvo aškerčev soba jedilnica olaiic bencinski serviseti omv trafik karta možen kupiti vhod vseeno priporočljiv nakup predprodaja možen rezervacija miza cena rezervacija velik boati mali brezalkoholen pijača eura potreben vstop posebati kupiti karta videti rezervacija miza teti organizacija fakulteta strojništvo šofs,2020-03-04 23:00:00,1904,331835760245003
"St. Patrick's Day | BIG FOOT MAMA, KAFE TEATER",patricka praznovanje štuk znamenje tullamoči dew akcijski cena pijača hostes nagraden igra koncert skupina big foota mama kaf teater vstopnina kavarna štuk predprodaja eura,2020-03-17 22:00:00,665,202091796475825
Jelena Rozga v Lajfu,lajf zabava lajf prijatelj lajf kula dogodek lajf povabiti najbolj zaželen hrvaški zvezda očarati glas stas lajf prihajati jelen rozg hit bižuterija nirvan tsuna cirkus piti pušiti dobiten kombinacija vstopnica volja lajf petek cena vstopnica predprodaja dan koncert rezervacija miza možen nakup boati izbira rezervacija sprejemati infa lajfmbs vstop potreben zagotavljanje varnost hišen red pridruževati pravica pregled oseben dokument vhod vabiti,2020-05-15 22:00:00,604,101698298017436
Prestavljeno: 23. obletnica Villa Monde,obletnica prestavljen leto več informacija sled obletnica ville mond vabiti skupaj praznovati let skupen trenutek rezervirati april petek april luk basa grupa vigor dejan vunjak sobota april marka škugor ljubavnica poskočen muzikant vstopnina več informacija kmalu del zgodba več infa,2020-04-17 20:00:00,2102,130266920374969
Mercedes-Benz UCI Mountain Bike World Cup / Maribor - Slovenia,after nineyear hiatus worlda cup calendar maribor proved why iti has always been rider favouriti,2020-05-02 00:00:00,2099,117500491595808
COBY & INAS@TOP SIX CLUB (TOČEN DATUM SPOROČIMO),coby radio trak petek klub top six prihajati coby premieren gost vecer vzhajajoc zved trapa scena ijaz slisati hit braca pravi rep leto zver biser blato ramba stran svet mnog predprodaja vstopnica dalja petrol eventimov prodajen mesto paketa vstopnica paketa vstopnica paketa vstopnica cetrti paketa vstopnica infa rezervacija jak topsixclubs,2020-05-08 23:00:00,844,331835760245003
Ogled Svetovnega prvenstva v poletih,škd organizirati ogled svetoven prvenstvo smučarski polet planica sobota odhod parkirišče oblak volja cec mesto odrasel imeti zagotovljen vstopnica stran društvo prevzeti avtobus ostal zagotoviti sam petrola pošta kompas prevoz član društvo brezplačen ostal znašati oseba prijava pobirati kasneje sreda zapolnitev mesto številka jura velik zanimanje ogled svetoven prvenstvo karta zagotoviti prej vabiti velik število podpreti orel športen sekcija,2020-03-21 04:00:00,2421,304358643004121
Velika pustna zabava s Kingstoni in Vilijem Resnikom na Viru,soboten pusten zabava čas pust iti letos drugače lep vabiti velik pustovanje skupina kingston viliti resnik vir izviren skupinski individualen maska bogat nagrajen cena vstopnica dan dogodek znašati predprodaja cena vstopnica znašati predprodaja dobiti bar don juan vir šaranovičev cesta domžati skupina kingston idrija najbolj priljubljen slovenski glasben skupina vsekakor poseben pečat pravi zabava pozitiven energija izjemen karizem oder kakovost izvedba glasba uspešnica uspešnica glaven karakteristika kingston držati sam imeti lep število hit šteti več pretiravanje lahek zatrditi skladba priti glasben pero postati uspešnica vila resnik glasba začeti ukvarjati razred osnoven šola odločiti postati kitarist nadaljevanje sodelovati rockovski skupina igrati peti herbio junak nočen kronik pomaranča yunka spina skupina pop design pričeti sodelovati november sodelovanje zaključiti pesem potepuh let,2020-02-22 20:00:00,835,388042060566
Prvomajski Žur // Raubarji // Zvita feltna // ROVN,sneg izpit zvonček začeti čivkati ptiček lahek pomen bližati maj čas dober prvomajski žura gorenjski kdaj april raubar april zvit felten kje športen park rovn prireditev šotor potekati zagotoviti vstopnica predprodaja zagotoviti vstop mimovrsta dober cena volja zato čimprej naslonjač prodajen mesto olaio omv trafik starosten omejitev dogodek lahek obiskati mladoleten oseba nakup vstopnica starš skrbnik prevzeti odgovornost zakon varstvo javen red mir člen zakon določati oseba mlad let prepovedan vstop zadrževanje spremstvo starš rejnik skrbnik gostinski obrat prireditev kjer točiti alkoholen pijača,2020-04-24 20:30:00,879,102773803267
"K4x4 w/ Blawan (Ternesc, VOAM / UK)",april lahek duhovičiti mesec vrag odnesti šala klet prihajati najbolj razvpit suveren techen ime zadnji desetletje jamio roberts neizbrisen pečat najprej pustiti britanski bass scena neusmiljen podrgniti nalomljen perkusiven šamar nalezljiv vokalen sempel čvrst techen noga jamiejev legendaren edin nastop ljubljana miniti let mali več ponarodel hitič why they hiti their bodies under garag poskrbeti zborovski petje publika festival domač klubovje let izviren producent cel večnost jamio vmes premakniti analogn močvirje zapreti strog techen matrica modularen studijski laboratorij prenoviti zvok pot postati nesumiljen hipnotičen techen stroj producentski škorenj polirati lasten založba ternesce kjer nedaven dolgometražec wet will always dry razstreliti techen temelj ruševina skonstruirati čistunski amfetaminski pardon minimalističen palača prefinjen producentski udrihanje blawan popuščati dje pult kjer bič pomemben elektrončkarski festival luknja obenem imeti čas analogno vijačenje duet karenn kolega pariaha trada vzornik surgeon april destiliran techen vizija steroid vzeti čas velik floor lineup maina blawan ternesce voa minda machines liv schrauff elements bar evan all nighter vje klub kersnikov ljubljana starosten omejitev aga limiti vstopnina entranec predprodaja dan dogodek infa infa garderoba lost founda gmailc,2020-04-10 23:00:00,1112,126700024052347
Tour de Bar: Vseštudentsko pustovanje 25.2 Cvetličarna,toura dejati bar spoznavanje nov človek druženje prijatelj unikaten energija lahek nastati odštekan skupina več človek kup kdaj pusten torek kje kongresen trg direkt sredin kdaj zbor štarta cena vključen voden tur vodič animator vstopnina vseštudentski pustovanje welcom shota bar hud pivski igra nagraden igra collegium mondial travel prevoz center bežigrad vstopnica volja prodaja karta karta prodajen mesto viba events promotor medicinski fakulteta obraz mfa predprodaja avla mfa fakulteta šport difa preprodaja avla fti cena vstopnica promotor predprodaja cena prodajen mesto karta dan dogodek vstop mesto omejen,2020-02-25 21:30:00,655,107246437510750
"PURE Oldies Goldies ★ Valentine's Day | Cvetličarna, 14. Februar",pura oldies goldies valentina day petek februar directed dje shift special guests paola barbat alex donati warm devious aga limiti infa miza pura tantums vstopnina predprodaja mesto event petrola dan dogodek blagajna klub dalja vstop vstopnica predprodaja omogočati vstop vrsta število vstopnica omejen,2020-02-14 23:00:00,802,43956324012
Proslava ob dnevu zmage in 75. obletnici osvoboditve,vabiti ogled spleten proslava dan zmaga obletnica osvoboditev potekati facebook profil petek maj ura slavnosten govornik predsednik zveza združenje borec vrednota noba slovenija tovariš marijan križman program slovesnost oblikovan prvič predstavljen arhivski posnetek udeležba slovenski partizanov obletnica izkrcanje zaveznik normandija vljuden vabiti zmaga svoboda slovenija,2020-05-08 20:00:00,1002,148241421989108
Off Road dirka 4x4 Lijak 2020,lijak vljuden vaba dirka državen odprt prvenstvo offroad odvijati maj glinokop vogrski tekmovati disciplina spretnosten hard preizkusnje vljuden vabiti tekmovalec navijača več informacija kmalu nonostant recent problematich colpiscona amica oltreconfin iti lijak conferma ati momenta iti appuntamenta annuati del campionat nazionala fuoristradati invitanda tutt appassionati partecipara ati campionat nazionala fuoristradati svolgerà neti fin settiman del maggio pressa cati vogrski sla poch minuta dati confin ter gorizio nov gorica garati suddivis categorio cona vario prov special circuit fuoristradati estreti terreti aggiornat cona maggior informazion suti program entramba giornat lijak despati recent problems affecting friends othra siti border lijak confirms ati moment its annuati appointment nationala offroad championship inviting all fans participati nationala offroad championship which will placa weekend anda may ati vogrski quarry sla few minutes border between gorizio anda nov gorica raca divided inta categories with various special stages anda extrema offroad circuit will keep updated with information program both days lijak,2020-05-16 07:00:00,748,3090524940982390
Jurčičev pohod 7.3.2020,dan iti jurčič pohod dobiti višnji gora štart cerkev zgoraj ljubljana oditi točen lahek dogovoriti iti manj avto parking pretek prijava pvt pošlihtati prevoz,2020-03-07 07:00:00,1379,115058735173181
"Večer s Sanelo Banović, dr. med",februar ura prisrčen vabiti pridružiti brezplačnen predavanje avla dom slovenski tabor žalec gostja saneti banović spomniti strupen beseda zastrupljati odnos spomniti moč objem spomniti prepogost preskromen dajanje kompliment včasih znati sprejet spomniti živeti življenje zdaj prisrčen vabiti,2020-02-26 18:00:00,1259,444784815579359
Litijski karneval 22.2.2020 - ČUKI + Challe Salle,litijski karnevati letos priti čuk litijski karnevati več leten tradicija soboten program februar živ žava super kriti dvorana litij infa mca litij litijski karnevati mesto litij infa turističen društvo litij točen zaključen prireditev karnevalski povorek alex volaska dvorana litij čuk challe salle dje berny whit dvorana litij infa wak events ostal prireditev pusten razstava litija nebo mesten muzej litij litijan veseljak občina litij februar debel četrtek februar tekmovanje pusten krofa valvazor trg tica litij prevzem pusten oblast mama manek dan gregorce elvis show valvazor trg pusten torek februar pravljičen pust litijski knjižnica otroški pusten karnevati dvorana litij pepelničen sreda februar pečen postrv ribiški dom pokop pust šmelca litij parkirišče tematika karnevati litij airways prijava skupina karnevati turisticnodlitij gmailc matej štefereti prireditev brezplačen vstop prireditev čuk polnoč možen spremstvo starš oza zakonit skrbnik vstop prireditev primeren starosten skupina več informacija fba litijski karnevati tica litij infa visitlitijasa organizator občina litij sodelovanje zkmti litij wak events turističen društvo litij turističen zveza slovenija,2020-02-22 10:00:00,795,1410484415869371
"Festival Malvazija, žlahtni okus Mediterana 2020",festival malvazija žlahten okus mediteran marec več malvazija več vinar država sla hrv iti kulinaričen vinski delavnica sončen portorož slovenija lifeclass podroben seznam vinar društvo vinogradnikov slovenski ister vaba festival malvazija žlahten okus mediteran več malvazija lahek družiti nedelja ponedeljek marec kongresen center portoroški slovenija vstopnina ever prejeti degustacijski kozarec več infa fba stran društvo vinogradnikov slovenski ister lahek pisati privati sporočilo lassociazion viticoltor dellistrio sloven inviti ati festival malvasio gust raffinat del mediterraneo sieta gentilment invitati trascorra del tempo companio dell pio varietà malvasio domenica lunedì marza entrat eura kjedov kongresen center portus slovenija portorožcenter congress portus slovenija portorosa obiskovalec festival malvazija hotel lifeclass spa portorož volja ugoden namestitven paketa spa storitev več per visitator del festival malvasio lifeclass spa portorož offrona pacchett soggioren prezza convenient maggior informazion,2020-03-01 15:00:00,1165,186049424765001
"Balkan Hits | Klinac I @Top Six Club (Petek, 31.1.)",petek premieren klub top six prihajati klinaca slišati hit praviti sumraksvetel nemati mir korak ispred molitev vip paketa vip miza boati vstopnica možen kupiti vhod klub ura dalja vstopnina,2020-01-31 23:00:00,787,331835760245003
"Primorska fešta/ 20.2.2020/ Cirkus, Ljubljana",primorski fešti cirkus letos študentski klub primorski regija pripravljati fešta primorski fešt letos predpordajati vstopnica sistem dalja early bird vstopnica paketa naslednio vstopnica paketa nasleden vstopnica prodajen mesto sistem karta karta predprodaja lahek vstopiti cirkus ura organizator primorski fešta ljubljana primorski študentski klub kgti kati kiti ktti kšs kšop kšok kišd kšopp kšib kzti lahek enkrat rodilo najraje primorec primorski fešta šprica piti primorcismonorec mon dejšprica starosten omejitev organizator pridrževati pravica sprememba program odpoved dogodek,2020-02-20 11:00:00,1083,237302949627686
11. Kongres Misli na srce: Transplantacije in transfuzija,projekt misel srce letos organizirati kongres bolj podroben poglobiti tematika transplantacija transfuzija kongres popoldan slišati predavanje strokovnjakov področje kongres namenjen študent absolvent diplomant prijava odpreti sreda eobrazec objavljen stran dogodek število prijava omejen spremljati dogodek ostal obvestiti nagraden igra,2020-03-05 16:00:00,560,1104667533058410
Guns N' Roses - Real tribute,sklop red bikerfest oder nastopiti guns roses real tribut banda jailbreak besti europiti koper prihajati velik guns roses real tribut banda imeti turneja koncert indija brazilija tunis malta evropa ostal predel svet pevec alex imeti popolnoma identičen barva glas axti rosa dober let vrač fen guns roses dober čas bend obet nepozaben koncert pravi glasben poslastica oboževalec legendaren guns roses ljubitelj kvaliteten glasben izvedba živ del glasben spektakel dolg pomniti zato vabiti sobota april red bikerfesti snacka bar nepozaben koncert dober guns roses real tribut banda evropa svet vstop prost,2020-04-25 23:00:00,1045,144501068991113
