naziv,opis,datum_od,stevilo,sifra_prizorisca
Medštudijski kongres: (R)evolucija bakterij,bakterij povzročijo evropski uniji smrti leto indiji leto posledicami okužb odpornimi bakterijami običajno dobijo mat umr dojenčkov primeru obstoječi antibiotiki naprej izgubljali učinkovitost ocenjuj leta naprej leto posledicami okužb superbakterijami umrlo milijonov ljudi pogostejša odpornost bakterij antibiotikom zmanjšuj učinkovitost zdravil človeštvo uporablja stoletj podatkih svetovn zdravstven organizacij trenutno fazi kliničnih raziskav antibiotikov povsem inovativnih pričakovati kliničn raziskav uspešno prestalo zdravil superbakterijah evoluciji mehanizmih rezist zdravstvenem bremenu prinaša protimikrobna rezistenca vpeljavi novih inovativnih terapij pogovarjali izbrani predavatelji priznani strokovnjaki omenjenih področjih zato lahko gotovostjo trdimo soboto medicinski fakulteti izved veliko novega uporabnega temo točen program objavljen kmalu pridružit dogodku evolucija bakterij število omejeno zato potrebn prijav odprl petek odprt zapolnitv potrdilo udeležbi kongresu preje prisotni celotnem kongresu zamislimi znanjem prihodnost področja krojili,2020-03-07 09:00:00,1536,1104667533058410
"ŠentRock 20. obletnica / Siddharta, Hogminister",leto pričetek festivalsk sezon šentrock letošnjo obletnico povzpenja visok nivo produkcij glasbenih skupin obeta koncert presegel pričakovanja koncert masovno združil uživač najboljš slovensk rock glasb sobota april parkirišč občino šentjur googl map nastopajoči siddharta hogminist ostali vstopnic razprodano parti zmaj vstopnic razprodano zvesti zmaj vstopnic kupi zdaj nakup lahko opraviš bančno kartico maestro entriosi trafik omv bencinski servisi škmš pisarna starostna omejitev dogodek lahko obiščejo mladoletn oseb nakupom vstopnic starši skrbniki prevzamejo odgovornost zakon varstvu javnega reda miru členu zakon določa osebam mlajšim let prepovedan vstop zadrževanj spremstva staršev rejnikov skrbnikov gostinskih obratih prireditvah kjer točijo alkoholn pijač vstop mogoč osebnim dokumentom napasmat šentrock rock šentjur rockwithu,2020-04-25 20:00:00,1762,1510386055936222
Extra študentski torek / Total Knockout | ŠTUK,dnevu žena študentski torek obarvan primerno erotični plesalci skupin total knockout male erot danc show dnevu mučenikov pozabili moški del kavarni štuk pripravljamo posebno ponudbo akcijskih moških pijač presenečenj vstop pre prost dobrodošli študentski dnevni sobi,2020-03-10 22:00:00,651,202091796475825
Veliki poizpitni žur z Mambo Kings / TOP SIX CLUB / 4.3.,potrdi dogodku sodeluj nagradni igri vstopnic poizpitni žur mambo king tokrat top six vidimo sredo marca najboljšem poizpitnem žuru doktorji zabavo mambo king vrsto let začetku semestra pričarali super žurersko vzdušj družili plesali pozno noč predprodaja strojniksi fakulteti strojništvo aškerčeva soba jedilnico olaiicom bencinski servisi omv trafik kart možno kupiti vhodu vseeno priporočljiv nakup predprodaji možna rezervacija mize cena rezervacij veliki boat malih brezalkoholnih pijač eur potrebno vstop posebaj kupiti kart vidimo rezervacija mize tel organizacija fakultet strojništvo šof,2020-03-04 23:00:00,1904,331835760245003
"St. Patrick's Day | BIG FOOT MAMA, KAFE TEATER",patrick praznovanj štuku znamenju tullamor dew akcijsk cene pijač host nagradn igr koncerta skupin big foot mama kafe teater vstopnina kavarna štuk predprodaja eur,2020-03-17 22:00:00,665,202091796475825
Jelena Rozga v Lajfu,lajf zabava lajf prijatelji lajf kul dogodki lajf povabili najbolj zaželenih hrvaških zvezd očara glasom stasom lajf prihaja jelena rozga hitov bižuterija nirvana tsunami cirku pijem pušim dobitna kombinacija vstopnic voljo lajfu petka cena vstopnic predprodaji dan koncerta rezervacija miz možna nakupu boata izbiri rezervacij sprejemamo info lajfmbsi vstop potrebnega zagotavljanja varnosti hišnega reda pridružujemo pravico pregleda osebnih dokumentov vhodu vabljeni,2020-05-15 22:00:00,604,101698298017436
Prestavljeno: 23. obletnica Villa Monde,obletnica prestavljena leto več informacij sledi obletnica villa mond vabimo skupaj praznujemo let skupnih trenutkov rezerviraj april petek april luka basi grupa vigor dejan vunjak sobota april marko škugor ljubavnici poskočni muzikanti vstopnina več informacij kmalu del zgodb več info,2020-04-17 20:00:00,2102,130266920374969
Mercedes-Benz UCI Mountain Bike World Cup / Maribor - Slovenia,after nineyear hiatu from the world cup calendar maribor prove whi alway rider favourit,2020-05-02 00:00:00,2099,117500491595808
COBY & INAS@TOP SIX CLUB (TOČEN DATUM SPOROČIMO),cobi jesi radio traku petek klub top six prihaja cobi premierno gost vecera vzhajajoca zveda trap scene ina slisali hite braca pravi rep leto zver biseri blata rambo strane sveta mnoge predprodaja vstopnic dalj petrolih eventimovih prodajnih mestih paket vstopnic paket vstopnic paket vstopnic cetrti paket vstopnic info rezervacij jakov topsixclubsi,2020-05-08 23:00:00,844,331835760245003
Ogled Svetovnega prvenstva v poletih,škd organizira ogl svetovnega prvenstva smučarskih poletih planici soboto odhod parkirišča oblaku voljo cca odraslih ima zagotovljeno vstopnico strani društva prevzamejo avtobusu ostali zagotovit sami petrol pošta kompa prevoz člane društva brezplačen ostal znaša osebo prijav pobiramo najkasnej srede zapolnitv številki jure velikega zanimanja ogleda svetovnega prvenstva kart zagotovit prej vabljeni večjem številu podpremo orl športna sekcija,2020-03-21 04:00:00,2421,304358643004121
Velika pustna zabava s Kingstoni in Vilijem Resnikom na Viru,sobotn pustn zabav času pusta gre leto drugač lepo vabljeni veliko pustovanj skupino kingston vilijem resnikom vir izvirn skupinsk individualn mask bogato nagrajen cena vstopnic dan dogodka znaša predprodaji cena vstopnic znašala predprodaji dobit baru don juan viru šaranovičeva cesta domžal skupina kingston idrij najbolj priljubljenih slovenskih glasbenih skupin vsekakor poseben pečat pravi zabavi pozitivna energija izjemna karizma odru kakovost izvedb glasb uspešnica uspešnico glavn karakteristik kingston držijo samem imajo lepo število hitov štejejo več pretiravanja lahko zatrdimo skladba pride glasbenega peresa postan uspešnica vili resnik glasbo začel ukvarjati razredu osnovn šole odločil postal kitarist nadaljevanju sodelov rockovskih skupinah igral pel herbi junaki nočn kronik pomaranča yunk spin skupino pop design pričel sodelovati novembra sodelovanj zaključil pesmijo potepuh leta,2020-02-22 20:00:00,835,388042060566
Prvomajski Žur // Raubarji // Zvita feltna // ROVN,snegu izpitih zvončkih zače čivkati ptički lahko pomeni bliža maj najboljši prvomajski žur gorenjsk kdaj april raubarji april zvita feltna kje športni park rovn prireditev šotori potekala zagotovi vstopnico predprodaji zagotovi vstop mimovrst najboljši ceni voljo zato čimprej naslonjača prodajna mesta olaii omv trafik starostna omejitev dogodek lahko obiščejo mladoletn oseb nakupom vstopnic starši skrbniki prevzamejo odgovornost zakon varstvu javnega reda miru členu zakon določa osebam mlajšim let prepovedan vstop zadrževanj spremstva staršev rejnikov skrbnikov gostinskih obratih prireditvah kjer točijo alkoholn pijač,2020-04-24 20:30:00,879,102773803267
"K4x4 w/ Blawan (Ternesc, VOAM / UK)",aprila lahko duhovičit mesecu vrag odnesel šalo klet prihaja najbolj razvpitih suverenih techno imen zadnjega desetletja jami robert neizbrisen pečat najprej pustil britanski bass sceni neusmiljeno podrgnil nalomljen perkusivn šamarj nalezlj vokaln sempl čvrsto techno nogo jamiejevega legendarnega edinega nastopa ljubljani minilo let malo več ponarodelega hitiča whi they hide their bodi under garag poskrbel zborovsko petj publik festivalih domačem klubovju let izvirnemu producentu cela večnost jami vme premaknil analogna močvirja zaprl strogo techno matrico modularnim studijskim laboratorijem prenovil zvok poti postal nesumiljen hipnotičen techno stroj producentski škorenj polira lastni založbi ternesc kjer nedavno dolgometražcem wet will alway dri razstrelil techno temelj ruševin skonstruir čistunsko amfetaminsko pardon minimalistično palačo prefinjenem producentskem udrihanju blawan popušča pulti kjer biča pomembnejš elektrončkarsk festival luknj obenem ima analogno vijačenj duetu karenn kolegom pariaho trade vzornikom surgeonom aprila destilirano techno vizijo steroidih vzel velik floor lineup main blawan ternesc voam mind machin live schrauff element bar evano phi all nighter klub kersnikova ljubljana starostna omejitev age limit vstopnina entranc fee predprodaja dan dogodka info info garderoba lose find gmailcom,2020-04-10 23:00:00,1112,126700024052347
Tour de Bar: Vseštudentsko pustovanje 25.2 Cvetličarna,tour bar spoznavanj novih ljudi druženj prijatelji unikatna energija lahko nastan odštekani skupini več ljudi kupu kdaj pustni torek kje kongresni trg direkt sredini kdaj zbor štart ceno vključeno vodena tura vodič animatorji vstopnina vseštudentsko pustovanj welcom shoot baru hude pivsk igr nagradn igr collegium mondial travel prevoz centrum bežigrada vstopnic voljo prodaja kart kart prodajna mesta vibe event promotorji medicinska fakulteta obrazi predprodaja avli fakulteta šport dif preprodaja avli cena vstopnic promotorjih predprodaji cena prodajnih mestih kart dan dogodka vstop mesta omejena,2020-02-25 21:30:00,655,107246437510750
"PURE Oldies Goldies ★ Valentine's Day | Cvetličarna, 14. Februar",pure oldi goldi valentin day petek februar direct shift special guest paolo barbato alex donati warm deviou age limit info mize pure tantumsi vstopnina predprodaja mestih eventim petrol dan dogodka blagajni kluba dalj vstop vstopnico predprodaj omogoča vstop vrste število vstopnic omejeno,2020-02-14 23:00:00,802,43956324012
Proslava ob dnevu zmage in 75. obletnici osvoboditve,vabimo ogledu spletn proslava dnevu zmage obletnici osvoboditv potekala facebook profila petek maja uri slavnostni govornik predsednik zveza združenj borcev vrednot nob slovenij tovariš marijan križman program slovesnosti oblikovan prvič predstavljenih arhivskih posnetkov udeležbi slovenskih partizanov obletnici izkrcanja zaveznikov normandiji vljudno vabljeni zmaga svoboda slovenija,2020-05-08 20:00:00,1002,148241421989108
Off Road dirka 4x4 Lijak 2020,lijak vljudno vabi dirko državno odprto prvenstvo offroadu odvijala maja glinokopu vogrsko tekmovalo disciplini spretnostna hard preizkusnja vljudno vabljeni tekmovalci navijači več informaciji kmalu nonostant recenti problematich che colpiscono gli amici oltreconfin lijak conferma momento suo appuntamento annual del campionato nazional fuoristrada invitando tutti gli appassionati partecipar campionato nazional fuoristrada che svolgerà nel fine settimana del maggio presso cava vogrsko slo pochi minuti dal confin tra gorizia nova gorica gara suddivisa categori con vari prove speciali circuito fuoristrada estremo terremo aggiornati con maggiori informazioni sul programma entramb giornat lijak despit the recent problem affect friend the other side the border the lijak confirm the moment annual appoint the nation offroad championship invit all fan particip the nation offroad championship which will place the weekend and may the vogrsko quarri slo few minut from the border between gorizia and nova gorica the race divid into categori with variou special stage and extrem offroad circuit will keep you updat with inform the program both day lijak,2020-05-16 07:00:00,748,3090524940982390
Jurčičev pohod 7.3.2020,dne gremo jurčičev pohod dobili višnji gori štartu cerkvi zgoraj ljubljan odidemo točno lahko dogovorimo gremo manj avti parkinga pretek prijav pvt pošlihtamo prevoza,2020-03-07 07:00:00,1379,115058735173181
"Večer s Sanelo Banović, dr. med",februarja uri prisrčno vabljeni pridružit brezplačnen predavanju avli doma slovenskega tabora žalec gostja sanela banović spomnila strupen zastrupljajo odnos spomnila moč objemov spomnila prepogosto preskromni dajanjem komplimentov včasih znamo sprejeti spomnila živimo življenj zdaj prisrčno vabljeni,2020-02-26 18:00:00,1259,444784815579359
Litijski karneval 22.2.2020 - ČUKI + Challe Salle,litijski karnev leto pridejo čuki litijski karnev več letno tradicijo sobotni program februar živ žav super krili dvorana litija info litija litijski karnev mesto litija info turistično društvo litija točno zaključna prireditev karnevalsk povork alex volasko dvorana litija čuki chall sall berni white dvorana litija info wake event ostal prireditv pustni razstavi litij nebo mestni muzej litija litijani veseljaki občina litija februar debe četrtek februar tekmovanj pustni krof valvazorjev trg tic litija prevzem pustn oblasti mama manka dani gregorc elvi show valvazorjev trg pustni torek februar pravljični pust litijski knjižnici otroški pustni karnev dvorana litija pepelnična sreda februar pečen postrvi ribiški dom pokop pusta šmelc litija parkirišč tematika karnevala litija airway prijava skupin karnev turisticnodlitija gmailcom mateja šteferl prireditv brezplačn vstop prireditev čuki polnoči možen spremstvu staršev zakonitih skrbnikov vstop prireditv primeren starostn skupin več informacij litijski karnev tic litija info visitlitijasi organiz občina litija sodelovanju zkmš litija wake event turistično društvo litija turistična zveza slovenij,2020-02-22 10:00:00,795,1410484415869371
"Festival Malvazija, žlahtni okus Mediterana 2020",festiv malvazija žlahtni oku mediterana marec več malvazij več vinarjev držav slo hrv ita kulinaričn vinsk delavnic sončni portorož slovenija lifeclass podroben seznam vinarjev društvo vinogradnikov slovensk istr vabi festiv malvazija žlahtni oku mediterana več malvazijami lahko družili nedeljo ponedeljek marca kongresnem centru portoroškega slovenija vstopnina evrov prejmet degustacijski kozarec več info strani društva vinogradnikov slovensk istr lahko pišet privat sporočilo lassociazion dei viticoltori dellistria slovena invita festiv malvasia gusto raffinato del mediterraneo siet gentilment invitati trascorr del tempo compania dell piu varietà malvasia domenica lunedì marzo entrata euro kjedov kongresni center portu slovenija portorožcentro congressi portu slovenija portoros obiskovalc festivala malvazija hotelih lifeclass spa portorož voljo ugodni namestitveni paketi spa storitv več per visitatori del festiv malvasia gli lifeclass spa portorož offrono pacchetti soggiorno prezzi convenienti maggiori informazioni,2020-03-01 15:00:00,1165,186049424765001
"Balkan Hits | Klinac I @Top Six Club (Petek, 31.1.)",petek premierno klub top six prihaja klinac slišali hite pravila sumraksvetla nemam mira korak ispr molitva vip paket vip miza boat vstopnic možno kupiti vhodu kluba ure dalj vstopnina,2020-01-31 23:00:00,787,331835760245003
"Primorska fešta/ 20.2.2020/ Cirkus, Ljubljana",primorska fešta cirku leto študentski klubi primorsk regij pripravljamo fešto primorsko feštu leto predpordaja vstopnic sistema dalj earli bird vstopnic paket nasledniih vstopnic paket naslednih vstopnic prodajna mesta sistema kart karto predprodaj lahko vstopiš cirku uri organizatorji primorsk fešt ljubljani primorski študentski klubi kgš kaš kiš ktš kšop kšok kišd kšopp kšib kzš lahko enkrat rodil najraj primorec primorski fešti špric pil primorcismonorci mona dejšpric starostna omejitev organiz pridržuj pravico sprememb programa odpovedi dogodka,2020-02-20 11:00:00,1083,237302949627686
11. Kongres Misli na srce: Transplantacije in transfuzija,projekt misli srce leto organizira kongr bolj podrobno poglobili tematiko transplantacij transfuzij kongresu popoldnevu slišali predavanj strokovnjakov področja kongr namenjen študentom absolventom diplomantom prijav odprl sredo eobrazca objavljen strani dogodka število prijav omejeno spremljajt dogodek ostala obvestila nagradn igr,2020-03-05 16:00:00,560,1104667533058410
Guns N' Roses - Real tribute,sklopu red eye bikerfesta odru nastopili gun rise real tribut band jailbreak the best from europ koper prihaja največji gun rise real tribut band imel turnej koncert indiji braziliji tunisu malti evropi ostalih predelih sveta pevec alex ima popolnoma identično barvo glasu axl rise najboljših letih vrača fene gun rise najboljš čase benda obeta nepozaben koncert prava glasbena poslastica oboževalc legendarnih gun rise ljubitelj kvalitetn glasben izvedb živo del glasbenega spektakla dolgo pomnili zato vabljeni soboto aprila red eye bikerfest snack barom nepozaben koncert najboljših gun rise real tribut banda evropi svetu vstop prost,2020-04-25 23:00:00,1045,144501068991113
