naziv,opis,datum_od,stevilo,sifra_prizorisca,cluster,center_distance
"Poletni večer s Kingstoni, Manco Špik in Isaacom Palmo",tukaj tradicionalen vuzeniški dan poleten večer kingston manca špik isaac palma kdaj sobota ura naprej kje šotor igrišče vuzenica divji zabava neprespan noč poskrbeti skupina kingston manec špik isaaca palma pridružiti,2019-08-10 20:00:00,649,112376328774163,6,0.012852786447056523
"5. KOZEL FEST / Učiteljice, Tarapana Band, Blue Planet",kozel festi velik nikoli edinstven kozel festi letos poskrbeti obilica užitek glasben ritem nepozaben zabava dolg noč černelavec prihajati banda gostilna spirić velik šotor čas kositi ura naprej poskrbeti lahek okrepčati svež pečen vol žar celoten prireditev pokrit šotor primer dež vabiti nepozaben noč černelavec vstopnina videti černelavec gostilna spirić,2019-09-21 12:00:00,1538,136593443874513,6,0.01685547210531375
Otvoritev gostilne Cona s TANJO ŽAGAR,končen odpirati vrata zato pripraviti odličen zabava pester glasben program prireditev potekati parkirišče gostilna cona industrijski cona semič odličen zabava začeti tanja žagar skupina avantura pijača jedača poskrbljen vstopnina,2019-09-07 19:00:00,811,106293526076202,6,0.019195258475852198
Mambo Kings in Tanja Žagar,soboten večeren žura poskrbeti skupina mamba kings tanje žagar velik šotor uživati dober glasba nor plesati vstopnina,2020-04-04 21:00:00,1677,129002367674177,6,0.02276507867177004
Pustovanje 2020,vsakoleten praznovanje pust šotor trg mozir petek nasmejati sobota naplesati nedelja otrok krofa pripeljati torek mednaroden pusten povorka trg občudovati vabiti,2020-02-21 20:00:00,1071,106096789422192,6,0.024132061842879245
Dejan Vunjak & Brendijeve Barabe @Diskoteka Anton,dejan vunjak brendijev baraba diskoteka anton sobota doolg čas oder vrač edin dejan vunjak pomen definitiven čakati odličen veselica ogrevanje privoščiti mama lep tina umakniti telefon vstopnina party sharkvodek pridružiti dogodek povabiti prijatelj obveščen novost diskoteka anton cerkvenjak cerkvenjak diskotekaanton vabiti,2020-01-25 20:00:00,844,343838605664729,6,0.025189902332318583
Krajevni Praznik Ravnica,tkr društvo ravnica ravnica vaba krajeven praznik ravnica skupina pop design dje janka potekati tradicionalen turnir trojka pokal planota vstop prost primer dež šotor vabiti,2019-08-17 20:00:00,881,2827077147518475,6,0.02726143146546192
1. Kuzmiška Noč,dober zabava skupina blu planet skupina weekendbanda pijača jedača poskrbljen happy houra,2019-09-07 20:00:00,658,2272934226150786,6,0.028171544619743798
Opazovanje Meteorskega roja Perzeidov,ponedeljek vabiti opazovanje meteorski roj perzeid ura drobcen prašen zrnec zaiti atmosfera trenje segreti izpariti svetel sled puščati imenovati meteor večer avgust možen videti velik število meteor ura skupaj pojav prvič spremljati streha center noordung vitanje obvezen oprema dekica blazina udobje piknik košarica posebej vabiti vitanjčan vitanjčanka vstop prost lep vabiti,2019-08-12 21:00:00,509,1829338954054973,6,0.028209696115791577
Holcerija 2019,nedelja tradicionalen prireditev pričetek ura gad smeh nuš derend brat slatinek,2019-08-11 14:00:00,887,108547845836697,6,0.028511826597606812
Jesenski SEJEM Komenda 2019,priti stojnica komenda šotor sredin vesel oglasiti,2019-10-04 10:00:00,571,809396929149030,6,0.029533868987145395
Sobotni večerni žur na spomladanskem sejmu Komenda 2020,soboten večeren žura poskrbeti tanje žagar skupina mamba kings velik šotor lahek uživati dober glasba nor plesati štartati ura topel vabiti,2020-04-04 21:00:00,1378,129002367674177,6,0.029791201964044136
Šoštanjska golažijada 2019,letos šoštanje dišati mojstrovina kotlj prizorišče golažijada trg bratov mravljak prestaviti čist nov parkirišče gasilski dom šoštanje trg prenov nedostopen miza klop prijeten prizorišče glasben napovedovalski spremljav prehoden pokal poskrbeti član krajeven skupnost šoštanje vabiti šoštanjski golažijada udeležiti odeti predpasnik velik mera tekmovalen duh prijavnina znašati prihod ekipa doba prostor kuhanje miza klop nenarezan meso golaž nenarezati čebula skodelica žlica žemlje prepovedan uporaba vrsta meso degustacija golaž izključen sponzor član ekipa prodaja pijača kuhanje volja ura razglasitev rezultat nemudoma slediti ocenjevalen postopek žirija prijaviti janje telefonski številka teden ura tekmovati lahek ekipa oktober poslati izpolnjen prijavnica poravnati prijavnina plačilo prijavnina gotovina mogoč vabiti,2019-10-19 13:00:00,519,2435406513404092,6,0.031214875710209325
Kopanje Tunela V Trbovljah,bližati leto pohiteti izgradnja tuneti trbovljeprebold zato vabiti imeti dom kramp šafti udeležiti skupinski kopanje tuneti pijača hrana poskrbljen pripeljati prijatelj obilo dober volja knapovski duh,2019-09-06 18:00:00,1752,104020902967358,6,0.031224563151530684
Petkov večerni žur na spomladanskem sejmu Komenda 2020,petek večeren žura poskrbeti dejan vunjak skupina dje johny velik šotor lahek uživati dober glasba nor plesati štartati ura topel valiti,2020-04-03 20:00:00,1231,129002367674177,6,0.031332120052504964
