naziv,opis,datum_od,stevilo,sifra_prizorisca,cluster_pca,center_distance_pca,cluster_tsne,center_distance_tsne
Perpetuum Jazzile na Škofjeloškem gradu,perpetuum jazziti prvič škofjeloški grad velik najbolj prepoznaven slovenski vokalen skupina perpetuum jazziti ustavljati koncerten show spectacti perpetuum jazziti november navdušiti poln hala tivoli lani let vrniti razprodan ljubljanski stožica izključen skladba aranžmaj slovenski glasben zakladnica let vračati škofti loka koncerten spektakel škofjeloški grad postreči novost mlad slišati videti več obujen aranžmaj zanimiv krog zvest dolgoleten oboževalec sledilec vstopnica volja prodajen mesto mojekartes slovenija omv petrola trafik alpetoura kiosk delo prodaja kompas holidays splet primer slab vreme dogodek potekati športen dvorana trata zagotoviti vstopnica stojišče lahek prinesti piknik stolček veljati loški grad,2019-08-30 20:00:00,1050,1560932117326197.0,4,0.0024550276204692574,0,31.302928304573594
Vlado Kreslin & Mali bogovi,okvir festival kantfesti predstavitev zmagovalec festival zaključiti velik koncert vlada kreslina država slovenija žanr rocka eten vstopnica naprej prihajati legenda vlada kreslina mali bog dober slovenski avtorjev vlada kreslina mali bog zmagovalec festival kantfesti izvedeti koncert lep odprt prizorišče regija leten oder ruša zadeva vlada kreslina enkratnost najbolj skrivati inovacija odkrivati lahkoten ležeren napetost poseben skrb prestolniški občinstvo svetlati slapšak večer dec človek poslušati kreslinov pesem zdeti folk blues rocka izumiti slovenec daleč resnica dober pesem glasben univerzalen duh slovenski jutarnje list vlada kreslina nastop besedilo melodija slikarski magičen realist realen realističen osnova sestavljen oblikovan metafor izrisovati prekmurski lokalen koloriti oseben doživljajski profiliran izbran trenutek marijan zlobec zagotoviti vstopnica pravi spektakel objem gozd,2019-08-18 20:00:00,605,518751041655851.0,4,0.0030171671345644354,6,27.77433000745928
KŠ X | OPERATORS + Bernays Propaganda @ Kino Šiška,eng vodstvo marljiv dan boeckner wolfa parada handsom furs divina fits navdušujoč obisk let šiški nov plošča vračati operators plošča radianta dawn izid maj boeckner vokati preplet cinematičen zvok analogn glasbilo operators gost vračati neustavljiv makedonski aktivističen dancepunka ikon bernays propaganda nov dolgometražen album svež zbirka nagruvan radijski speven plesišče prijazen družben angažiran biser pomenljiv ime vtor mladost treti svetski vojen mladost svetoven vojen začetek september izšel domač neodvisen založba moonle records koncerten premiera doživel oder kino šiški fen wolfa parada futura islands preoccupations več infa kti dogodek vstopnica prodaja splet prodajen mreža event predprodaja dan dogodek popust omejen število dogodek potek okvir praznovanje obletnica kino šiški prijava kti newsletter prenesti kti app,2019-09-12 20:00:00,139,154287574875.0,4,0.0038412711612035894,6,35.211693813534595
Klapa Maslina - Dalmatinski večer,klap maslina naraven popeljati roden dalmacija glasben popotovanje država hrvaški žanr eten vstopnica naprej glasben večer poseben format klap maslina ponašati dolg bogat tradicija klapski petje sodelovanje uspešen arsen dedić jakš flamengo andreja baš uspešnica maslina neobrati mog pismo zvati oči plava mnog čelo izvrsten tenorist solist branko bubic dobitnik nagrada mesto šibenik šibeniški kninski okraj nagrada klap premik izvoren pesem popularen glasba uspel zadržati stil visok nivo zamuda pravi glasben potovanje prekrasen naraven ambient leten oder ruša vstopnica volja omejen število,2019-08-20 20:00:00,348,518751041655851.0,4,0.0049059629468617095,1,26.26925803957334
Koncert v Žalcu: Goran Bojčevski & Matija Dedić,žalec prihajati virtuoz goran bojčevski matija dedić veseliti vrhunski koncert glasben sladokusec goran bojčevski svetoven priznan klarinetist skladatelj utemeljitelj glasben slog balkan nuev matija dedić svet prepoznati večkrat nagrajen jazz pianist ustvarjalec glasba televizija gledališče sin gabiti novak arsti dedić skupaj podajati popotovanje intimen svet posameznik odkrivati globok tančica skrivnost nositi globok obet osebnoizpoveden izkušnja priznan mojstrov zaigrati šanson arsti dedić skladba sevda klezmera glasba predstaviti avtorski skladba predprodaja vstopnica eura dan dogodek eura tica žalec šlander trg tica zkstzalecs vabiti,2020-03-07 19:00:00,154,444784815579359.0,4,0.005229603222932445,6,10.37719471780553
Žuram doma z Brino Knauss,teden varen žuranje daljava priti čas mešalka žuramd pobožati ženski rok misel priti brina knauss zadeti poln nekdanji pevka manekenka zadnji let utrjevati sloves velik festival dokaz vrh hous techen atmosfera rezerviran nežen spol let nanizati zavidljiv število nastop evropa širok kjer velik ime deliti odreti slovit dogodek rumors anda get lost prefinjen občutek nota akorda melodija spreten vplet seti poln čustven globina razleči celoten prizorišče talent imeti možnost pokazati velikan glasba careti cox solomuna dubfir blacka coffe mnog pojaviti največjio festival london bejrut miamij berlin pariz turneja kolumbi južen afrika omogočiti mera imeti možnost nastopiti najbolj priljubljen festival belgija dodaten utrditi sloves diskoteka volt club milan reden utrjevati zadnji leto leto dan del ekipa radio edin oddaja soulfula melodičen deep techn italija let pustiti močen pečat scena naslovnica intervju revija dje maga italio let priznan podelitev awards besti newcomera let artist plesišče igrišče dneven soba več brina knauss mix sled tok lady buga brina knauss splet fba sce,2020-05-01 20:00:00,430,243956005758989.0,4,0.005465486592887036,1,21.91908539383227
Božični koncert zbora SNG Maribor,božičen koncert zbor oprati sng maribor december samostan ptuj nastopati zbor oprati sng maribor klap friški olg pečeny klavir minec lorenca povezovalka koncert program ernst friedrich richter martin luthra himmeti hoch kom ich hra šti sergej vasiljevič djev ava mario šti lajos bárdos božičen uspavanka madžarski janez močnik bambina mio mikol dmitrovič lastovka juan francisca muñoza sherra naniti nati španski hrvaški noga ustant valentina štolcer france cigan rajski struna zadoneti andreja vavkno france kimovec pastirec kam hiteti mirka rener elizabeta kremžar božičen noč harold drak christina rossett preva vit primožič hladen zima angleški adejati fidelo corlynn hanney angel david willcocks god resti merry gentleme angleški john rutter all bells paradis franz xaver gruber josep mohr preva jakob aljaž svet noč leto počasi približevati konec vesel razpoloženje ponujati obilo priložnost preživeti več čas blizek posebej božič božič praznik lep čas let božičen obhajanje imeti krščanski tradicija izreden bogat glasben zapuščina evropski jezik nastal napev slava rojstvo jezus mesija številen melodija božičen pesem izšel korala spev nato pomešati ljudstvo oblika koledniški petje velikokrat nov vznikniti nov glasben podoba priznan letošnji božičen koncert zbor oprati sng maribor pridruževati glasbenik klap friški pianistek olg pečeny igralka minec lorenca vloga povezovalka koncert ponujati bogat prijeten zveneč izbor zimzelen napev svet sodoben aranžmaj popeljati pravcat glasben popotovanje evropa amerika nazaj prelep božičen večer vstopnica možen kupiti tica ptovati cena vstopnica eura dan dogodek eura,2019-12-20 19:00:00,355,1603294739885167.0,4,0.005840162039247491,6,31.819822576078106
POPslušalnica nove plošče Čao Portorož,vabiti sredin popslušalnica portorož kapa records izid album pop prinesti čist frišen vinilka domač nja burek welcom drinka dobiti cosy prostor ploščaren big nos ent kolodvorski čist kinodvor arkada mati podružiti družen kino šiški otvoritev ment hkrati vabiti portorož koncert let imeti zgoditi naslednji dan četrtek februar ugant kje ment ljubljanafestival menz korito citirati andolški nor digitalen oblika volja kapa bandcamp prednaročiti vinilka možen streaming platforma iti hiter mali bolj resen album razposajen četverica ljubljanski kvarteti portorož let nastaviti electrorocka bomba pop album nalezljiv pesem bežati utrjen forma začeten mladostniški naivnost iti osnova zmeraj mešanica indio rocka energičen punka rocek dolgoleten proces nastajanje priti igriv electer zasuk nov plato prikrasti udaren synth linija vokalist samozavesten spogledovati vocoder autotun bobnar izostanek vaja nadomestilo ritem mašina tuduuum pripraviti bučen dizajnpop,2020-02-05 17:00:00,128,131526177548119.0,4,0.0060517881354470475,1,19.858328552646572
Poletni glasbeni večeri v Žički kartuziji: Klapa Cambi,klap camba split ljubitelj dalmatinski glasba vabiti nepozaben večer klapa camba split klap camba največkrat nagrajen popularen dalmatinski klap začeti delovati let prejeti številen nagrada priznanje nekajkrat osvojiti nagrada festival dalmatinski klap omiš večer dalmatinski pesem roden kaštel kambelovec izjemen ponosen zmaga festival zabaven glasba split več izdan album številen razprodan koncert dom tujina klap camba soorganizator festival klap jels vers potek leto hvar pomoč ohranjati nematerialen kulturen dediščina dalmatinski pesem pesem bit duga nija pati kiš jeden rič številen uspešnica slovenija priložnost prisluhniti edinstven ambient žiček kartuzija vstopnica eura spar plus kartica eura otrok let eura informacija center kulturen prireditev slovenski konjica primer slab vreme koncert odpasti,2019-07-19 20:30:00,1103,185633488540531.0,4,0.006303606562729352,1,25.29806175213476
Hamo & Tribute 2 Love • MC Celje • 26.10.2019,kdaj sobota oktober ura kje dvorana mcca celjski mladinski center predskupina masharika vstop prost nov skladba nov studijski album slišati dvorana celjski mladinski center lahek peti lep stvar pomlad takrat nov komad odigrati imeti leto postati pravi hit skupaj dolg hati tribut lov lubezenski zgodba najraje pripovedovati živ koncert oder izčistiti zvok album sreča improvizacija vrhunski kitarski tipkarski solaža pozitiven energija občinstvo pošiljati enormen odmerek današnji dan redek kombinacija vedno znova naraven zliti petje oder prepevanje vrsta publika najbolj pomemben član opaziti sleherni špilo pomlad lep stvar akustičen pomlad,2019-10-26 21:00:00,664,412711268773480.0,4,0.006982074430934634,1,15.61334079393923
