naziv,opis,datum_od,stevilo,sifra_prizorisca,cluster_pca,center_distance_pca,cluster_tsne,center_distance_tsne
Sankofa razpira krila - koncert ob 10. obletnici,sankof razpirati kriti koncert obletnica gost jos irena yebua tiran leticio slapnik yebua bezjak damaris potočnik malati vipotnik igor leonarda issiak sano thieren dialti tschimy obeng maša kaga knez emina bati afrokidz center kultura španski borec cena vstopnica eura cena vstopnica dan koncert eura prodajen mesto blagajna cka španski borec petrola kud baobaba partner zavod studio zavod ritem afrika ulec skuhen zavod globala aeio projekt podpreti jskd,2019-10-15 20:00:00,420,179615219802.0,4,0.054522483166838366,3,1.56056793828329
"Koncert Radia 94| Jan Plestenjak, Šank Rock, Pop Design",vabiti velik koncert radio nastopiti jan plestenjak šanka rocka pop design vitavox žura zagotovljen kdaj kje parkirišče ptca primorka akcija vstopnica predprodaja super akcijski cena volja ponedeljek vstopnica predprodaja prodajen mesto mojekarta servis petrola omv kompas postojen itd starosten omejitev mlad let vstop prireditev spremstvo starš zakonit zastopnikov,2019-09-21 20:00:00,3307,108156282546253.0,3,0.0744560515421612,3,1.9021884453267506
Božični Rock Žur 2019 I Siddharta I Bohem I Mary Rose I Skalp,leto čas nov doza božičen rocka kdaj sreda kje velik ogrevan šotor parkirišče ptca primorek postojen nastopiti siddhart boh mary rosa skalp vstopnica early bird paketa vstopnica vstopnica vstopnica predprodaja volja prodajen mesto sistem mojekarta petrola omv kompas itd število vstopnica omejen starosten omejitev mlad let vstop prireditev spremstvo starš zakonit zastopnikov organizator pridrževati pravica sprememba program,2019-12-25 20:00:00,2483,108156282546253.0,3,0.08978234417323694,3,2.0103922239072443
Brucovanje FKKT 2020,leto zato vabiti pridružiti tradicionalen kemijski brucovanje organizirati študentski svet fkkt kdaj četrtek kje klub akcijski pijača inženirček vhod čakati tradicionalen brucomor prodaja karta študentski soba torek sreda četrtek priti karta prej cena vstopnica bruca fkkt eura ostal eura vhod eura,2020-02-27 23:00:00,274,860257410762822.0,0,0.0359528786958801,3,2.218316930227977
Festival F52,festival leto nov lokacija nepozaben doživetje center mesto odličen glasba kulinarik dneven dogajanje letos pripravljati zanimiv adrenalinski dneven aktivnost poskrbeti celodneven zabava generacija lina šanka rocka demolition group koati voica fati butlers pinka panker phantomio vstopnica early bird eura predprodaja eura dan dogodek eura vstopnica volja prodajen mesto mojekartes petrola omv multitočka trafik kioski delo prodaja študentski dijaški ugodnost član klub kliš vstop prost invalid otrok let mlad let vstop prireditev spremstvo starš spleten stran facebook instagram,2019-08-31 15:00:00,215,459358480807852.0,3,0.08746673770967685,3,2.471780385529681
"Festival F52: Šank rock, Koala voice, Demolition group",festival leto nov lokacija nepozaben doživetje center mesto odličen glasba kulinarik dneven dogajanje letos pripravljati zanimiv adrenalinski dneven aktivnost poskrbeti celodneven zabava generacija lina šanka rocka koati voica demolition group fati butlers pinka panker phantomio gti kokalja vstopnica early bird eura predprodaja eura dan dogodek eura vstopnica volja splet prodajen mesto mojekartes petrola omv multitočka trafik kioski delo prodaja študentski dijaški ugodnost član klub kliš vstop prost invalid otrok let mlad let vstop prireditev spremstvo starš spleten stran facebook instagram,2019-08-31 19:00:00,606,583595528726134.0,3,0.08974266656227824,3,2.4720480390508133
"Največja Halloween zabava | Mambo Kings, Pop Design, Kingston",drag čarovnik zamuditi velik zabava letošnji jesen prihajati halloween zabava leto divji zabava več obiskovalec nepozaben noč velik ime slovenski žurerski scena mamba kings pop design kingston dje mitch dje chum vstopnica volja prodajen mesto mojekarta vstopnica super cena mlad let vstop spremstvo starš zakonit skrbnik videti,2019-10-31 21:00:00,3482,181906471980465.0,3,0.0650702133261323,3,2.6036510532075745
"Največja pustna zabava | Pop Design, Zvita Feltna, Dj Chumma",vabiti velik pusten zabava skupina pop design zvit felten program povezovati dje chum denaren nagrada lep maska sobota športen center hit šempeter gorica vstopnica volja prodajen mesto mojekarta akcija vstopnica super cena mlad let vstop spremstvo starš zakonit skrbnik,2020-02-22 21:00:00,1975,181906471980465.0,3,0.006370714737289068,3,2.6045633701732607
PowerYourFriday // Šank Rock • Happy Ol'Mcweasel // Prost vstop!,podjetje business solutions let prirejati dogodek power youra friday kdaj petek kje velik ogrevan šotor vila vipolž število obiskovalec šotor omejen nastopiti šanka rocka happy mcweasel dje starosten omejitev mlad let vstop prireditev prepovedan organizator pridrževati pravica sprememba program,2019-12-06 20:00:00,609,523921844453502.0,0,0.0785753349909416,3,3.2098157633829274
NK Maribor – Valur Reykjavik,polniti tribuna sreda ura več ugodnost predprodaja splačati pohiteti vrsta pokazati zaupanje nov projekt poseben darilo zvestoba polovičen cena vstopnica najprej potekati predprodaja kupec sezonski vstopnica zagotoviti sedež tribuna tekma domač prvenstvo pokalen tekmovanje zdaj postati del evropski spektakel vključno petek lahek lastnik sezonski kupiti vstopnica sedež popust neomejen število ostal vstopnica reden cena ostal navijača vstopnica evropski premiera volja sobota sedež lastnik sezonski vstopnica ostal rezerviran vključno sobota takrat veljati poseben popust veljati sezonski vstopnica kupiti prihodnji dan cena vstopnica predprodaja vključno kupec sezonski vstopnica odrasel eura eura preostal kupec eura odrasel eura otrok let eura navijaški tribuna članski izkaznica viola eura navijaški tribuna članski izkaznica družinski sektor tribuna vzhod sektor eura odrasel eura otrok let eura odrasel eura otrok let eura navijaški tribuna članski izkaznica viola eura navijaški tribuna članski izkaznica družinski sektor tribuna vzhod sektor eura odrasel eura otrok let prodajen mesto vijol čen bajta mercator center tabor vijol čen bajta center mesto tyrsati ulica dodaten informacija nakup veljati omejitev personalizacija vstop potrebovati oseben dokument izpolnjen obrazec miskupajenosmi videti,2019-07-17 20:15:00,1533,142530682431157.0,5,0.03866381020591438,3,3.7678216898012367
NK Maribor – Rosenborg BK,vijol čen poletje evropa atraktiven razburljiv dolg padel aik silovit ritem čakati naslednji spektakel ljudski vrt nka maribor rosenborg bka termin tekma norveški prvak določen sreda takoj iti karta začetek predprodaja četrtek ura najprej polniti tribuna dan kupec sezonski vstopnica predkupen pravica lahek vstopnica sedež kupiti poseben popust neomejen število ostal vstopnica reden cena ostal navijača začenjati predprodaja sobota vključno nedelja ostal rezerviran sedež kupec sezonski vstopnica nka maribor rosenborg bka sreda tekma krog kvalifikacija uef champions leagu cena vstopnica predprodaja vključno eura odrasel eura otrok let eura navijaški tribuna članski izkaznica viola eura navijaški tribuna članski izkaznica družinski sektor tribuna vzhod sektor eura odrasel eura otrok let cena vstopnica kupec sezonski vstopnica odrasel eura eura družinski sektor odrasel eura eura cena vstopnica dan tekma eura odrasel eura otrok let eura navijaški tribuna članski izkaznica viola eura navijaški tribuna članski izkaznica družinski sektor tribuna vzhod sektor eura odrasel eura otrok let prodajen mesto vijol čen bajta mercator center tabor vijol čen bajta center mesto tyrsati ulica splet dodaten informacija nakup veljati omejitev personalizacija vstop potrebovati oseben dokument izpolnjen obrazec miskupajenosmi videti,2019-08-07 20:15:00,3042,142530682431157.0,5,0.04635842190101535,3,3.8905863172408726
"Spring Fest - Luka Basi, Vigor, Nika Zorjan, Polkaholiki, Dj Ney",zabava noč ogrevan šotor hostes vip prostor oder nepozaben nor pomladen noč neposreden bližina terma snovik vstopnica entrio vstopnica event volja stojiščaparter fanpitparter vipmizeparter oseba oseba prodajen mesto entrio omv trafik print hom prodajen mesto event petrola pošta print hom vljuden vabiti,2020-04-24 20:00:00,1305,106178619412584.0,3,0.018239723982217362,3,3.9376249984877503
