event_name,event_link,opis,start_date_and_time,end_date_and_time,event_location,event_organizer,event_contact,event_cost,event_type
Rose Parade,{'url': 'http://www.tournamentofroses.com'},"This historic and traditional California celebration features majestic floral floats, high-stepping equestrian units, and spirited marching bands from across the nation.",2014-01-01T08:00:00,2014-01-01T11:00:00,,The City of Pasadena Tournament of Roses Committee,"626-449-ROSE, 626-449-4100",Free,"Family Friendly, Holiday Celebration, Fairs & Festivals"
Downtown on Ice Outdoor Skating Rink,{'url': 'http://www.pershingsquareicerink.com'},"Situated amid the Downtown Los Angeles skyscrapers, the rink will be open for ice skating daily, including holidays. There will also be a variety of free activities, including live concerts, youth programs, and special events.  

Event times: Mondays through Thursdays, 11:30 a.m. – 9:30 p.m., Fridays through Sundays, 10:00 a.m. - 11:00 p.m.  ",2014-01-01T00:00:00,2014-01-20T00:00:00,,City of Los Angeles Department of Recreation and Parks,213-624-4289,$8 per hour,"Family Friendly, Great Outdoors"
1st Thursday San Pedro Art Walk,{'url': 'http://www.1stthursday.com'},"On the first Thursday of each month, the artists, entertainers, and business people of San Pedro celebrate the arts with an evening of open galleries, studios, street vendors, and live entertainment in the Downtown San Pedro Arts District.  Downtown San Pedro is magically transformed into a village of creativity surrounded by historical architecture, including the magnificent Warner Grand Theatre, quaint restaurants and cafes, plus plenty of places to shop for unusual items and gifts. Bring the whole family for an enjoyable evening in this seaside village.    ",2014-01-02T17:00:00,2014-01-02T21:00:00,,San Pedro Peninsula Chamber of Commerce,,free,"Family Friendly, Culture & Community, Arts & Antiques"
"Undiscovered Chinatown Tour
",{'url': 'http://www.chinatownla.com'},"Tours take visitors to a number of off-the-beaten-track points of cultural and historical interest, and will guide those interested in shopping to some of Chinatown’s best bargains and trendiest shops. RSVP via email at info@chinatownla.com",2014-01-04T10:30:00,2014-01-04T13:00:00,,Chinatown Business Improvement District,213-680-0243,$20 ,"Culture & Community, Tour LA, Family Friendly"
Oshogatsu Family Festival,{'url': 'http://www.janm.org'},"Ring in the New Year and the Year of the Horse with fun arts and crafts, food, and exciting performances. In Japan the most important and elaborate holiday is Oshogatsu  - the celebration of the New Year.    ",2014-01-05T11:00:00,2014-01-05T17:00:00,"{'human_address': '{""address"":""100 N Central Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",Japanese American National Museum,213-625-0414,Free,"Holiday Celebration, Family Friendly, Culture & Community"
Three Wise Men Festival,{'url': 'http://www.cervantescenter.org'},"A celebration of the Day of the Wise Men, a Hispanic tradition in which children receive free toys and books from the Wise Men (Melchor, Gaspar, and Baltazar). The festival includes gifts for all attending children, musical performances, and raffles.    

",2014-01-06T12:00:00,2014-01-06T15:00:00,,Cervantes Center of Arts & Letters,,Free,"Holiday Celebration, Family Friendly, Culture & Community"
Los Tres Reyes – The Three Kings,{'url': 'http://www.calleolvera.com'},"A celebration of the Epiphany (visit of the Three Kings) with music and a colorful procession on Olvera Street. Complimentary refreshments are also served.    

",2014-01-06T18:30:00,2014-01-06T20:30:00,,El Pueblo Historical Monument,213-485-8372,Free,"Holiday Celebration, Family Friendly, Culture & Community"
Australia Week 2014 / G’Day USA,{'url': 'http://www.australia-week.com'},"Australia Week is the largest foreign country promotion held annually in the United States showcasing all things Australian from food and wine, energy resources, film, arts, fashion, lifestyle, trade, and investment to indigenous culture and tourism. The week-long program of events highlights Australia's vitality as a place to visit and a place to do business in the 21st Century.  ",2014-01-08T00:00:00,2014-01-14T00:00:00,"{'longitude': '-118.28566042299968', 'human_address': '{""address"":""3607 Trousdale Parkway"",""city"":""Los Angeles"",""state"":""CA"",""zip"":""90089""}', 'latitude': '34.019664744000465', 'needs_recoding': False}",Australian Consulate General,310-229-4867,Varies,Culture & Community
Downtown Art Walk,{'url': 'http://www.downtownartwalk.org'},"The Downtown Art Walk is a monthly, self-guided tour of the art exhibition venues in Downtown Los Angeles, including commercial art galleries, public museums, nonprofit spaces, and grassroots arts venues. The event brings together art lovers and community friends to the ever-evolving Downtown Los Angeles.",2014-01-09T12:00:00,2014-01-09T22:00:00,,Downtown LA Art Walk,,Free,"Culture & Community, Arts & Antiques"
Pomona Art Walk,{'url': 'http://www.metropomona.com'},"The Downtown Pomona Arts Colony has an art walk every second and last Saturday of the month that brings big crowds to stroll the streets. Over a dozen galleries host receptions and open houses to showcase their latest exhibits and artists. Music, food, wine, and art throughout the evening.",2014-01-25T15:00:00,2014-01-25T23:00:00,,Pomona Arts Colony,909-469-1121,Free,"Culture & Community, Arts & Antiques"
